Biochemistry_ID,Albumin,Alkaline.phosphatase,ALT..GPT.,AST..GOT.,Cholesterol,Creatinine,GGT,LDH,Potassium,Sodium,Triglycerides,Urea..BUN.
F215254,42,144,44,85,1.6,36,NA,121,5.8,147,2,5.2
F215271,45,158,46,70,2.3,34,1,170,5.9,148,2.7,4.7
F215286,42,54,41,69,2.1,37,1,92,6.4,145,1.1,4.2
F215301,40,177,65,80,1.7,34,1,94,6.8,147,1.2,4.8
F215328,40,125,54,78,1.5,31,1,90,7.4,146,0.9,4.6
F215347,39,136,53,85,1.7,33,1,158,6.2,149,1,5.4
F215373,42,130,45,78,1.6,36,NA,106,5.5,147,1.3,4.4
F215392,40,108,54,83,2,35,1,109,7.4,146,1,3.7
F215417,42,91,58,74,1.5,34,1,76,6.4,146,0.9,5.3
F215434,42,131,66,94,2.1,33,2,137,7.6,149,1.2,4.3
F215459,44,158,62,82,2.1,36,1,91,6.5,146,1.7,5.3
F215474,47,153,55,72,2.1,34,1,90,6.6,146,2.4,4.6
F215261,43,73,45,76,1.9,29,2,97,6.7,146,2.1,4.7
F215278,46,66,44,65,2.7,33,1,88,5.6,146,2.5,4.1
F215300,41,71,27,62,0.9,34,1,98,6.7,148,0.7,4.6
F215327,39,103,49,80,1.7,34,1,96,7.3,146,1.8,4.8
F215346,39,149,56,86,2.3,32,2,98,6.4,147,1,4.2
F215366,39,76,43,69,1.6,32,1,131,7.2,146,2.3,4.5
F215391,35,92,50,90,2,31,1,138,7.7,143,0.9,3.9
F215416,42,126,39,68,1.8,29,1,71,7.4,146,1.4,3.5
F215433,40,100,50,78,2,30,1,86,7.1,147,0.9,3.7
F215458,41,151,58,73,1.7,34,2,83,8.7,145,2.1,5
F215473,40,170,51,75,1.8,34,1,98,7.2,145,2,5
F215498,38,84,41,72,2.2,34,1,68,7.2,147,0.8,3.6
