ID,700052000,700052001,700052002,700052003,700052004,700052005,700052006,700052007,700052008,700052009,700052070,700052071,700052072,700052073,700052074,700052075,700052076,700052077,700052078,700052079
(16 or 17)-methylstearate (a19:0 or i19:0),"20,688,256","19,970,696","10,948,266","14,681,956","13,070,061","9,751,948","8,707,463","17,018,500","7,810,671","19,235,320","12,788,533","20,058,376","6,433,659","9,060,188","9,210,284","12,644,301","10,603,615","23,798,726","13,620,574","9,783,452"
(2 or 3)-decenoate (10:1n7 or n8),"224,156","209,558","325,781","234,325","140,129","124,607","232,855","231,525",,"271,763","242,707","222,676",,"106,290",,"89,853","444,024","310,460","366,260","181,074"
(N(1) + N(8))-acetylspermidine,"925,288","816,411","1,110,567","1,100,858","845,874","1,164,264","1,004,251","1,252,745","804,395","944,521","979,511","1,158,597","1,255,026","823,143","1,160,106","1,227,027","870,922","947,809","1,201,182","849,009"
(R)-3-hydroxybutyrylcarnitine,"997,785","2,900,024","1,980,516","3,349,584","1,399,198","2,080,714","2,857,025","6,398,585","1,777,414","4,035,220","1,258,758","1,407,245","684,263","321,317","799,324","1,076,927","1,693,393","1,218,045","2,493,401","663,088"
(S)-3-hydroxybutyrylcarnitine,"880,712","1,706,547","1,645,374","2,526,419","1,036,080","1,588,738","1,889,927","2,465,765","1,979,702","2,751,776","1,315,830","1,984,072","1,620,781","1,147,778","1,804,584","1,650,546","1,387,166","1,231,014","1,836,036","1,176,487"
"1,2-dilinoleoyl-GPC (18:2/18:2)","66,993,432","79,825,920","27,018,978","66,136,968","93,807,384","116,695,888","78,130,512","44,050,436","115,993,376","75,758,616","45,498,944","51,593,524","33,196,160","75,709,664","88,646,120","58,074,264","42,658,896","60,596,016","42,660,268","80,891,016"
"1,2-dipalmitoyl-GPC (16:0/16:0)","38,792,344","39,882,036","39,358,012","40,284,780","41,233,784","46,954,876","38,777,220","45,578,152","41,850,912","40,293,624","31,559,756","40,290,828","36,307,664","36,165,568","47,578,816","34,976,924","46,560,904","38,994,748","38,357,800","40,169,440"
"1,2-distearoyl-GPC (18:0/18:0)","35,476,488","64,960,592","68,104,504","36,022,772","27,035,106","36,417,852","34,124,600","51,708,672","24,075,540","56,003,992","45,446,140","79,552,032","22,614,254","28,326,832","55,367,148","34,349,112","38,764,800","40,680,796","47,597,388","43,397,980"
"1,5-anhydroglucitol (1,5-AG)","122,937,264","123,242,736","171,917,232","131,133,296","146,817,312","129,767,592","147,719,328","134,177,208","158,947,664","170,181,424","156,934,976","88,933,560","95,218,072","113,980,920","112,235,472","157,251,776","121,156,488","161,481,696","119,703,392","107,876,520"
1-(1-enyl-oleoyl)-GPE (P-18:1)*,"2,081,082","2,032,048","2,296,196","2,145,234","2,531,810","3,362,933","1,892,359","3,197,900","1,316,634","2,912,410","2,021,809","1,225,380","1,388,569","2,744,887","2,723,827","2,988,909","3,402,207","2,737,554","1,825,577","2,210,556"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,"4,702,197","5,026,393","7,465,347","5,376,689","5,392,349","6,125,606","5,673,376","6,767,228","4,428,528","6,463,565","4,711,307","5,997,240","3,459,774","5,159,596","8,400,995","4,320,641","7,388,442","6,349,433","7,566,925","5,606,209"
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,"1,276,875","1,489,387","1,894,491","1,978,955","2,185,243","2,939,394","1,671,040","2,295,337","1,910,437","1,911,250","1,589,205","1,296,028","1,811,429","1,893,969","2,395,957","1,826,770","2,590,871","1,736,062","1,598,526","1,478,137"
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,"464,897","478,034","832,583","764,083","919,597","1,120,438","726,551","675,253","853,333","981,469","544,156","591,209","583,910","765,686","1,059,364","495,466","1,191,020","697,697","962,533","440,040"
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,"1,116,737","1,095,792","1,928,527","1,441,878","1,442,175","1,507,249","1,405,981","1,629,483","1,384,742","2,071,830","1,020,532","1,426,020","825,315","1,146,673","1,737,562","1,125,080","1,734,865","1,455,682","1,640,526","1,374,141"
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,"540,401","704,475","701,481","798,432","980,927","1,122,551","788,334","910,628","723,927","946,040","722,388","600,129","318,658","747,677","814,016","804,240","800,622","842,817","814,464","906,870"
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,"2,470,028","2,504,859","3,692,116","3,653,116","3,255,267","3,704,552","2,948,624","3,788,593","3,172,390","3,887,881","2,663,904","2,678,712","1,889,286","3,012,370","3,851,502","2,541,044","3,917,855","3,633,443","3,481,422","2,951,896"
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,"1,526,983","1,594,791","1,959,946","1,345,560","1,531,752","1,597,322","1,992,045","1,714,386","1,465,964","1,929,369","1,652,054","1,746,051","1,445,984","1,605,668","2,031,824","1,315,428","1,974,690","1,798,638","1,620,308","1,763,043"
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,"1,802,570","1,836,757","2,075,803","2,000,565","2,155,314","2,780,413","1,831,577","2,775,859","1,321,403","2,638,946","2,065,946","1,413,235","1,342,409","2,282,352","2,502,451","2,565,663","3,036,179","2,545,959","1,866,595","2,006,925"
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,"6,851,912","8,827,686","9,657,263","9,056,699","10,170,684","11,856,165","7,561,182","10,474,216","7,680,644","9,943,786","7,296,373","7,643,138","5,402,772","7,552,376","11,600,524","8,612,657","10,698,741","9,389,375","8,939,187","7,659,597"
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,"712,572","1,029,719","872,809","1,197,913","1,408,801","1,628,241","1,029,840","1,241,712","1,263,653","1,350,052","903,151","890,365","429,775","831,688","1,549,413","1,259,308","1,048,129","1,222,181","904,282","1,021,268"
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),"601,865","777,936","641,935","991,418","1,069,537","1,121,670","517,803","754,697","689,003","898,883","661,627","356,014","185,368","617,930","1,075,539","673,425","534,150","662,168","649,589","660,496"
