PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID,P_value,qvalues,abs(fold_change),fold_change,getVipVn.serum_mixture.oplsda.
122,pipecolate,Amino Acid,Lysine Metabolism,1444,LC/MS Pos Early,1025,2200,130.08626,4043-87-2,849,826,C00408,HMDB00070,3.50E-07,0.000167098,0.308539692,-6.482148161,2.791352554
315,3-methylglutaconate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57747,LC/MS Polar,100002458,2700,99.04518,5746-90-7,1551553,1267861,NA,HMDB00522,1.12E-05,0.002671282,0.490910194,-4.074064919,2.639215148
148,4-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,541,LC/MS Neg,144,1361,151.04007,156-38-7,127,3881560,C00642,HMDB00020,1.74E-05,0.00277416,0.490744854,-4.075437538,2.468101685
3912,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27665,LC/MS Pos Early,55,1940,137.07094,1005-24-9,10129985,8305504,C02918,HMDB00699,0.00021363,0.016721731,1.868543006,1.868543006,2.293514728
1480,glutarate (C5-DC),Lipid,"Fatty Acid, Dicarboxylate",396,LC/MS Polar,339,2900,131.03498,110-94-1,743,3618533,C00489,HMDB00661,0.000244301,0.016721731,0.598067312,-3.344105188,2.291506027
3911,nicotinamide N-oxide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,39582,LC/MS Pos Early,100002763,877,139.05021,1986-81-8,72661,65522,NA,HMDB02730,0.000188154,0.016721731,3.056254668,3.056254668,2.277585631
1489,3-hydroxyadipate*,Lipid,"Fatty Acid, Dicarboxylate",62069,LC/MS Polar,100004396,3131,161.04554,NA,151913,133894,NA,HMDB00345,0.000259785,0.016721731,0.479575856,-4.170351725,2.268392014
2853,mevalonate,Lipid,Mevalonate Metabolism,39583,LC/MS Polar,30,1462,147.06628,96949-03-0,439230,388367,C02104,HMDB00227,0.000315435,0.016721731,0.720330556,-2.77650307,2.242841792
1285,alpha-ketoglutarate,Energy,TCA Cycle,528,LC/MS Polar,93,2700,145.01425,305-72-6;328-50-7;22202-68-2,51,50,C00026,HMDB00208,0.000290071,0.016721731,0.666286679,-3.001710918,2.238602202
57,N-methyl-GABA,Amino Acid,Glutamate Metabolism,39577,LC/MS Pos Early,100003152,2109,118.08626,1119-48-8,70703,63869,C15987,NA,0.00064837,0.02812184,0.807145052,-2.477869369,2.16925782
1523,eicosanedioate (C20-DC),Lipid,"Fatty Acid, Dicarboxylate",39831,LC/MS Neg,100002951,5200.9,341.26973,2424-92-2,75502,68030,NA,NA,0.0006037,0.02812184,0.617887423,-3.236835586,2.126282772
3145,3-dehydrocholate,Lipid,Secondary Bile Acid Metabolism,43835,LC/MS Neg,100001062,5050,405.26464,2304-89-4,159655,140376,NA,HMDB00502,0.001011697,0.037129623,3.873536795,3.873536795,2.121620306
3900,nicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,594,LC/MS Pos Early,432,1942,123.05529,98-92-0,936,911,C00153,HMDB01406,0.001212691,0.038572004,1.459955136,1.459955136,2.1191681
4034,pyridoxal,Cofactors and Vitamins,Vitamin B6 Metabolism,1651,LC/MS Pos Early,491,2343,168.06552,65-22-5,1050,1021,C00250,HMDB01545,0.001396556,0.038983737,0.62660019,-3.191827952,2.114407147
266,indoleacetate,Amino Acid,Tryptophan Metabolism,27513,LC/MS Neg,100001034,2200,174.05605,6505-45-9,802,780,C00954,HMDB00197,0.001354944,0.038983737,0.617599805,-3.238342993,2.08864511
5284,perfluorooctanesulfonate (PFOS),Xenobiotics,Chemical,57564,LC/MS Polar,100010955,662,498.93021,1763-23-1,74483,67068,C18142,HMDB59586,0.000981733,0.037129623,0.802259094,-2.492960211,2.065826136
405,taurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2125,LC/MS Pos Early,512,660,126.02195,107-35-7,1123,1091,C00245,HMDB00251,0.00120171,0.038572004,1.098289485,1.098289485,2.062308883
3826,5-methyluridine (ribothymidine),Nucleotide,"Pyrimidine Metabolism, Uracil containing",35136,LC/MS Neg,100001446,1778.1,257.07791,1463-10-1,445408,393058,NA,HMDB00884,0.001488299,0.038983737,0.78654099,-2.542779112,2.050238388
228,tryptophan,Amino Acid,Tryptophan Metabolism,54,LC/MS Pos Early,565,2986,205.09716,73-22-3,6305,6066,C00078,HMDB00929,0.001696973,0.04048166,0.881490159,-2.268885227,2.020466268
1517,hexadecenedioate (C16:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",61862,LC/MS Neg,100019975,4380,283.19148,NA,NA,NA,NA,NA,0.002527255,0.052424517,0.478645459,-4.17845811,2.005435149
370,methionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1302,LC/MS Pos Early,415,2526,150.05833,63-68-3,6137,5907,C00073,HMDB00696,0.001552472,0.038983737,0.872728346,-2.291663848,2.00350509
93,N-acetylhistamine,Amino Acid,Histidine Metabolism,48679,LC/MS Neg,100006123,1730,152.0832,673-49-4,69602,62805,C05135,HMDB13253,0.0021069,0.047867185,1.436819255,1.436819255,1.994048203
1091,glycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1572,LC/MS Polar,1052,2070.4,105.01933,600-19-1,752,732,C00258,HMDB00139,0.003418365,0.055362602,0.780656046,-2.561947749,1.993520613
1689,(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",43264,LC/MS Pos Early,100003926,2400,248.14925,NA,53481617,NA,NA,HMDB13127,0.002477997,0.052424517,0.418199618,-4.782405131,1.963142743
2971,11-dehydrocorticosterone,Lipid,Corticosteroids,39779,LC/MS Neg,100002781,4732,343.19148,72-23-1,NA,NA,NA,NA,0.00513722,0.066242959,0.510331452,-3.919021632,1.95330899
549,gamma-glutamylglutamate,Peptide,Gamma-glutamyl Amino Acid,36738,LC/MS Pos Early,331,1775,277.10303,1116-22-9,92865,83831,C05282,HMDB11737,0.002830451,0.055362602,0.770134626,-2.596948548,1.952894766
3752,adenosine,Nucleotide,"Purine Metabolism, Adenine containing",555,LC/MS Pos Early,798,2169,268.10404,58-61-7,60961,54923,C00212,HMDB00050,0.003032799,0.055362602,1.607855763,1.607855763,1.941811267
1273,N-acetylglucosamine/N-acetylgalactosamine,Carbohydrate,Aminosugar Metabolism,46539,LC/MS Pos Early,100006435,715,222.0972,NA,24139,NA,NA,HMDB00215,0.003238036,0.055362602,0.865828916,-2.309925163,1.939137501
330,N-acetylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33967,LC/MS Neg,100001276,2325,172.09791,3077-46-1,306109,2081100,NA,HMDB61684,0.00323548,0.055362602,1.600559184,1.600559184,1.937905142
1620,butenoylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),61785,LC/MS Neg,100016110,1380,142.05096,71428-89-2,6303498,4877902,NA,NA,0.003614269,0.055362602,0.613500392,-3.259981617,1.928684802
2881,3beta-hydroxy-5-cholestenoate,Lipid,Sterol,54805,LC/MS Neg,100006370,5398,415.32177,6561-58-6,165511,NA,C17333,NA,0.004566176,0.064074759,0.558799795,-3.579099378,1.919429718
436,N-alpha-acetylornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,32984,LC/MS Pos Early,100000285,2000,175.10772,1572591,439232,388369,C00437,HMDB03357,0.005506379,0.069134652,1.705835256,1.705835256,1.914532822
560,gamma-glutamyltryptophan,Peptide,Gamma-glutamyl Amino Acid,33947,LC/MS Neg,100001295,1960,332.12519,66471-20-3,3989307,2302065,NA,HMDB29160,0.003713242,0.055362602,0.659854724,-3.030970194,1.904980735
1704,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,542,LC/MS Polar,254,1480,103.04007,625-72-9,441,428,C01089,HMDB00357,0.003646246,0.055362602,0.531745606,-3.76119704,1.89981036
344,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",32397,LC/MS Neg,100001170,975,117.05571,4374-62-3,188979,164207,NA,HMDB00396,0.005060498,0.066242959,0.688928849,-2.903057412,1.893884552
557,gamma-glutamylmethionine,Peptide,Gamma-glutamyl Amino Acid,44872,LC/MS Pos Early,100001313,2640,279.10092,17663-87-5,7009567,5373147,NA,HMDB29155,0.003310852,0.055362602,0.794512632,-2.51726646,1.890651084
1519,octadecanedioate (C18-DC),Lipid,"Fatty Acid, Dicarboxylate",36754,LC/MS Neg,100001615,5043,313.23843,871-70-5,70095,63283,NA,HMDB00782,0.006758395,0.073283154,0.593570864,-3.369437621,1.857401223
2852,3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,531,LC/MS Polar,112,2850,161.04555,503-49-1,1662,4573695,C03761,HMDB00355,0.006402653,0.0710403,0.632950284,-3.159805834,1.85283477
1279,citrate,Energy,TCA Cycle,1564,LC/MS Neg,1124,582,191.01973,77-92-9,311,305,C00158,HMDB00094,0.005022451,0.066242959,0.824133894,-2.42679013,1.85198607
3073,cholate,Lipid,Primary Bile Acid Metabolism,22842,LC/MS Neg,136,5165,407.28029,81-25-4,221493,NA,C00695,HMDB00619,0.006120027,0.069521215,3.716037926,3.716037926,1.83912013
2689,N-palmitoyl-sphinganine (d18:0/16:0),Lipid,Dihydroceramides,52604,LC/MS Pos Late,100009028,3090,540.53503,5966-29-0,5283572,4446685,NA,HMDB11760,0.005968216,0.069521215,0.421883444,-4.740645857,1.836821815
353,valine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1649,LC/MS Neg,566,909.4,116.0717,72-18-4,6287,6050,C00183,HMDB00883,0.007100338,0.075003833,1.184667951,1.184667951,1.817118358
1738,3-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",53230,LC/MS Neg,100006367,1725,131.07136,10191-24-9,151492,133518,NA,NA,0.009302207,0.084204194,0.676500621,-2.956390487,1.805687568
1494,pimelate (C7-DC),Lipid,"Fatty Acid, Dicarboxylate",15704,LC/MS Polar,100000101,2745,159.06628,111-16-0,385,376,C02656,HMDB00857,0.005681577,0.069505247,0.688711754,-2.903972507,1.805400233
5,dimethylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",5086,LC/MS Pos Early,806,1104,104.07061,1118-68-9,673,653,C01026,HMDB00092,0.008865148,0.084204194,0.847518616,-2.35983017,1.796973261
4936,4-hydroxycoumarin,Xenobiotics,Drug - Cardiovascular,37445,LC/MS Neg,100002049,2470,161.02441,1076-38-6,54682930,10254753,C20414,NA,0.004479738,0.064074759,1.799907038,1.799907038,1.793194672
5205,3-acetylphenol sulfate,Xenobiotics,Chemical,48693,LC/MS Neg,100004326,2477,215.00196,NA,NA,16230535,NA,NA,0.008109574,0.080606501,2.198117607,2.198117607,1.782269989
3862,2'-deoxycytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",15949,LC/MS Pos Early,100000125,2193,228.09789,951-77-9,13711,13117,C00881,HMDB00014,0.006107021,0.069521215,1.188001459,1.188001459,1.777870666
2726,"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",Lipid,Ceramides,57440,LC/MS Pos Late,100015755,3920,594.58199,NA,NA,NA,NA,NA,0.009353978,0.084204194,0.498147378,-4.014876099,1.766645164
1577,N-acetyl-2-aminooctanoate*,Lipid,"Fatty Acid, Amino",62059,LC/MS Neg,100020204,3943,200.12921,NA,95555,86248,NA,HMDB59745,0.007231494,0.075003833,0.705390803,-2.835307733,1.761912151
1289,fumarate,Energy,TCA Cycle,1643,LC/MS Polar,330,3084,115.00368,100-17-8,444972,10197150,C00122,HMDB00134,0.008423584,0.082018931,0.784983125,-2.547825472,1.758672401
1516,hexadecanedioate (C16-DC),Lipid,"Fatty Acid, Dicarboxylate",35678,LC/MS Neg,100001614,4615,285.20713,505-54-4,10459,10027,C19615,HMDB00672,0.010876866,0.093896515,0.512479566,-3.902594627,1.75415489
1271,erythronate*,Carbohydrate,Aminosugar Metabolism,42420,LC/MS Polar,100001320,2186,135.02989,88759-55-1,2781043,2061231,NA,HMDB00613,0.009103344,0.084204194,0.846328486,-2.363148627,1.735743804
1373,nervonate (24:1n9)*,Lipid,Long Chain Monounsaturated Fatty Acid,52674,LC/MS Neg,100001231,6804,365.3425,506-37-6,5281120,4444565,C08323,HMDB02368,0.007778524,0.078960998,0.675804159,-2.959437249,1.730138661
1522,nonadecanedioate (C19-DC),Lipid,"Fatty Acid, Dicarboxylate",62867,LC/MS Neg,100019970,5130,327.25408,6250-70-0,NA,11395055,NA,NA,0.009555109,0.084421906,0.625356223,-3.198177176,1.724565009
3084,alpha-muricholate,Lipid,Primary Bile Acid Metabolism,34092,LC/MS Neg,100001280,4765,407.28029,2393-58-0,3083761,2340918,C17647,HMDB00506,0.012650721,0.098840615,3.844457047,3.844457047,1.710058965
4335,cinnamoylglycine,Xenobiotics,Food Component/Plant,38637,LC/MS Neg,100002253,3127,204.06661,16534-24-0,709625,618829,NA,HMDB11621,0.012135617,0.098134819,0.642279087,-3.113911134,1.705332312
1333,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid,32497,LC/MS Neg,100001197,5085.8,183.13905,1333-28-4,14891,10771160,C13910,HMDB33724,0.011881124,0.097733358,0.689326055,-2.901384598,1.686663685
3076,chenodeoxycholate,Lipid,Primary Bile Acid Metabolism,1563,LC/MS Neg,1123,5264,391.28538,474-24-9;474-25-9,10133,NA,C02528,HMDB00518,0.014302832,0.10339306,4.100721996,4.100721996,1.671042362
4431,mannonate*,Xenobiotics,Food Component/Plant,62864,LC/MS Polar,100003695,2736,195.05102,642-99-9,3246006,2496757,NA,NA,0.013258736,0.098840615,0.807318413,-2.47733728,1.663823323
485,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,15681,LC/MS Pos Early,100000096,2320,146.09241,463-003;463-00-3,500,486,C01035,HMDB03464,0.011021082,0.093896515,0.750013439,-2.666618884,1.663415202
4261,2-isopropylmalate,Xenobiotics,Food Component/Plant,15667,LC/MS Polar,100000409,2605,175.06119,3237-44-3,77,76,C02504,HMDB00402,0.015365622,0.109417957,0.774715819,-2.581591794,1.655599545
4662,3-indoleglyoxylic acid,Xenobiotics,Food Component/Plant,63583,LC/MS Neg,100020372,2140,188.03531,1477-49-2,73863,66497,NA,NA,0.012432642,0.098840615,0.806428228,-2.480071914,1.652375467
277,indoleacetoylcarnitine*,Amino Acid,Tryptophan Metabolism,62279,LC/MS Pos Early,100020479,3114,319.16524,NA,NA,NA,NA,NA,0.011710345,0.097733358,0.579750208,-3.44976159,1.651926919
246,anthranilate,Amino Acid,Tryptophan Metabolism,4970,LC/MS Pos Early,1258,2606,138.05496,118-92-3,227,222,C00108,HMDB01123,0.013551268,0.099467189,0.683991772,-2.92401178,1.648352632
1520,octadecenedioate (C18:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",61861,LC/MS Neg,100019978,4875,311.22279,NA,NA,NA,NA,NA,0.019741862,0.122323714,0.600567721,-3.330182309,1.644654643
1291,malate,Energy,TCA Cycle,1303,LC/MS Polar,409,3343.1,133.01425,6915-15-7,525,510,C00149,HMDB00156,0.019225318,0.122323714,0.797122966,-2.509023183,1.643813557
1301,2-methylcitrate/homocitrate,Energy,TCA Cycle,52282,LC/MS Neg,100008929,575,205.03538,NA,NA,NA,NA,NA,0.023333064,0.133296765,0.609482759,-3.281471004,1.642852165
383,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",62805,LC/MS Neg,100020893,1156,177.0227,NA,NA,NA,NA,NA,0.013224861,0.098840615,0.87534626,-2.284810127,1.627913806
1371,erucate (22:1n9),Lipid,Long Chain Monounsaturated Fatty Acid,1552,LC/MS Neg,1087,6355.6,337.3112,112-86-7,5281116,7924,C08316,HMDB02068,0.019606175,0.122323714,0.717512975,-2.787406038,1.621420563
107,"N6,N6-dimethyllysine",Amino Acid,Lysine Metabolism,62862,LC/MS Pos Early,100020417,2831,175.14411,2259-86-1,193344,167778,C05545,HMDB13287,0.021438677,0.126728493,0.578974783,-3.454381882,1.619705282
1525,docosadioate (C22-DC),Lipid,"Fatty Acid, Dicarboxylate",39837,LC/MS Neg,100002952,5291.8,369.30103,505-56-6,244872,214170,C19625,NA,0.016924926,0.117028318,0.669948267,-2.985305133,1.617214765
489,"glutathione, oxidized (GSSG)",Amino Acid,Glutathione Metabolism,27727,LC/MS Pos Early,448,2667,613.15925,103239-24-3,65359,58835,C00127,HMDB03337,0.017265704,0.117679148,2.302144482,2.302144482,1.61104581
3896,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,1899,LC/MS Pos Early,182,845,168.02914,89-00-9,1066,1037,C03722,HMDB00232,0.01295101,0.098840615,0.640352068,-3.123281861,1.608179586
484,1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism,48114,LC/MS Pos Early,100000715,2149,74.07127,22661-87-6,10111,28576,C02294,HMDB01522,0.029036485,0.141658415,4.873551271,4.873551271,1.600942548
289,N-acetylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1587,LC/MS Neg,1082,2400,172.09791,1188-21-2,70912,64075,C02710,HMDB11756,0.020093583,0.122906842,1.358832709,1.358832709,1.600619416
457,creatine phosphate,Amino Acid,Creatine Metabolism,33951,LC/MS Polar,100000112,3831,210.02853,922-32-7,9548602,567,C02305,HMDB01511,0.017927653,0.118796658,1.855761717,1.855761717,1.592865835
558,gamma-glutamylphenylalanine,Peptide,Gamma-glutamyl Amino Acid,33422,LC/MS Pos Early,100000491,2992,295.12885,7432-24-8,111299,99868,NA,HMDB00594,0.015887109,0.111467748,0.824918603,-2.424481632,1.585572256
1135,ribulonate/xylulonate/lyxonate*,Carbohydrate,Pentose Metabolism,61858,LC/MS Polar,100019968,2350,165.04046,NA,NA,NA,NA,NA,0.01883144,0.122323714,0.793547162,-2.520329094,1.575751367
3083,beta-muricholate,Lipid,Primary Bile Acid Metabolism,31885,LC/MS Neg,100001066,4794,407.28029,2393-59-1,5283853,2340919,C17726,HMDB00415,0.01940239,0.122323714,2.731471161,2.731471161,1.5691257
1655,cis-4-decenoylcarnitine (C10:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",38178,LC/MS Pos Late,100002259,1057,314.23259,98930-66-6,NA,28639171,NA,NA,0.023473004,0.133296765,0.713109436,-2.804618616,1.568941981
