PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID,P_value,qvalues,abs(fold_change),fold_change,getVipVn.caecum_mixture.oplsda.
258,serotonin,Amino Acid,Tryptophan Metabolism,2342,LC/MS Pos Early,504,2550,177.10224,153-98-0,5202,5013,C00780,HMDB00259,0.002605117,0.276632105,1.614913909,1.614913909,2.504380058
422,citrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,2132,LC/MS Pos Early,391,1520,176.10297,372-75-8,9750,810,C00327,HMDB00904,0.001769092,0.247071857,1.622132782,1.622132782,2.464893103
2780,stearoyl sphingomyelin (d18:1/18:0),Lipid,Sphingomyelins,19503,LC/MS Pos Late,1538,2400,731.60615,85187-10-6;85187-10-6,6453725,4956085,C00550,HMDB01348,0.007355626,0.466949413,3.874656791,3.874656791,2.459658437
1516,hexadecanedioate (C16-DC),Lipid,"Fatty Acid, Dicarboxylate",35678,LC/MS Neg,100001614,4615,285.20713,505-54-4,10459,10027,C19615,HMDB00672,0.00277305,0.276632105,1.897052002,1.897052002,2.435610045
2233,1-palmitoyl-2-oleoyl-GPG (16:0/18:1),Lipid,Phosphatidylglycerol (PG),52448,LC/MS Polar,100000641,745,747.51853,NA,5283509,4446626,NA,NA,0.001317402,0.247071857,2.1570767,2.1570767,2.429532117
2133,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),19263,LC/MS Pos Late,1526,2509,718.53813,26662-94-2,5283496,4446615,NA,HMDB05320,0.00136595,0.247071857,2.184669461,2.184669461,2.412127341
2507,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,52475,LC/MS Pos Late,100008999,2511,752.55887,NA,9547058,7826008,NA,HMDB05779,0.014894879,0.468988614,3.544275647,3.544275647,2.395544364
3903,nicotinamide riboside,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,33013,LC/MS Pos Early,100001310,2040,255.09755,1341-23-7,439924,NA,C03150,HMDB00855,0.01399928,0.468988614,1.368962264,1.368962264,2.346397492
3929,pantothenate,Cofactors and Vitamins,Pantothenate and CoA Metabolism,1508,LC/MS Pos Early,1024,1667,220.11795,137-08-6,6613,6361,C00864,HMDB00210,0.017369633,0.468988614,1.391332456,1.391332456,2.311754114
2160,"1,2-dioleoyl-GPE (18:1/18:1)",Lipid,Phosphatidylethanolamine (PE),52609,LC/MS Pos Late,100008906,2485,744.55378,768593,9546757,7825707,NA,NA,0.000502625,0.247071857,2.820274432,2.820274432,2.284360445
2013,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),52461,LC/MS Pos Late,1539,2358,760.58509,26853-31-6;26853-31-6,6436017,4940699,NA,HMDB07972,0.030894588,0.540136006,2.2944999,2.2944999,2.263955244
4034,pyridoxal,Cofactors and Vitamins,Vitamin B6 Metabolism,1651,LC/MS Pos Early,491,2343,168.06552,65-22-5,1050,1021,C00250,HMDB01545,0.006736074,0.466949413,1.303546117,1.303546117,2.238478086
2494,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,52673,LC/MS Pos Late,100009002,2270,724.52757,NA,NA,24769238,NA,HMDB11352,0.035441893,0.546909495,2.518221499,2.518221499,2.163798144
429,N-acetylarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,33953,LC/MS Pos Early,100001266,2245,217.12952,155-84-0,67427,60752,C02562,HMDB04620,0.023741925,0.501328614,1.298040924,1.298040924,2.158447062
2778,palmitoyl sphingomyelin (d18:1/16:0),Lipid,Sphingomyelins,37506,LC/MS Pos Late,100002107,2168,703.57485,6254-89-3,9939941,8115562,NA,NA,0.016306569,0.468988614,2.154016289,2.154016289,2.153064938
2010,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),52470,LC/MS Pos Late,100008984,2160,732.55378,NA,NA,NA,NA,HMDB07969,0.038320508,0.546909495,2.210034676,2.210034676,2.150178447
2050,1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC),52438,LC/MS Pos Late,100008904,2644,788.61639,56421-10-4,NA,24766704,NA,HMDB08038,0.049927907,0.622584404,2.467555685,2.467555685,2.12513483
