species,p,FDR
s__Adlercreutzia_equolifaciens,0.2040239,0.5610656
s__Anaerotruncus_sp_G3_2012,0.5633634,0.6033318
s__Asaccharobacter_celatus,0.3556111,0.6033318
s__Bifidobacterium_animalis,0.5637029,0.6033318
s__Bifidobacterium_pseudolongum,0.1329893,0.5610656
s__Collinsella_intestinalis,0.4179096,0.6033318
s__Collinsella_stercoris,0.6033318,0.6033318
s__Enterorhabdus_caecimuris,0.5066281,0.6033318
s__Lactobacillus_johnsonii,0.6033318,0.6033318
s__Lactobacillus_murinus,0.2040239,0.5610656
s__Lactobacillus_reuteri,0.1480304,0.5610656
