,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
05014 Amyotrophic lateral sclerosis (ALS) [PATH:ko05014],-7.741023713,-5.632144223,-8.903335045,-3.763258323,3.109042939,-1.093874816,0.091146008,0.000874893,0.076470098,0.000637757,0.06533449
03050 Proteasome [PATH:ko03050],-3.114593927,-2.57488345,-3.720745415,-1.154392308,1.063325826,-1.0430416,0.151041763,0.00166509,0.127651091,0.002083159,0.144633748
04540 Gap junction [PATH:ko04540],-5.736432357,-4.201828193,-6.908995333,-2.377751354,2.500113129,-0.928693249,0.149739681,0.003181889,0.175481508,0.004226885,0.195457194
00362 Benzoate degradation [PATH:ko00362],0.081033937,-0.004824588,0.235522856,0.252097874,0.308609081,0.782201943,0.183593825,0.006138544,0.255702137,0.009758694,0.272251565
04144 Endocytosis [PATH:ko04144],-3.952008664,-3.037212867,-4.681320542,-1.400365305,1.962500544,-0.708633813,0.210937561,0.019201301,0.374750137,0.013749259,0.315438739
03060 Protein export [PATH:ko03060],2.118763424,1.998572493,2.165611092,0.179004894,0.284846378,0.524978357,0.219765987,0.037487268,0.414128888,0.021806168,0.33320211
04113 Meiosis - yeast [PATH:ko04113],0.475435121,0.187731175,0.952779544,0.839269924,1.142046951,0.687524183,0.21484381,0.013503687,0.370617052,0.020005179,0.33445112
00550 Peptidoglycan biosynthesis [PATH:ko00550],5.466830848,5.404117706,5.501166834,0.111647816,0.187557978,0.496357897,0.234070273,0.166862037,0.511340366,0.0248948,0.337266811
04310 Wnt signaling pathway [PATH:ko04310],-7.402583067,-6.304292544,-8.016274283,-1.698212523,2.706185954,-0.545339,0.228868715,0.062911497,0.405891394,0.044448931,0.341215784
"00260 Glycine, serine and threonine metabolism [PATH:ko00260]",6.407282464,6.356323483,6.43850489,0.097115409,0.156686972,0.599110624,0.235370663,0.030138659,0.403265998,0.028871323,0.342684195
05142 Chagas disease (American trypanosomiasis) [PATH:ko05142],-3.109274594,-2.612215696,-3.659497095,-1.517730258,2.728061679,-0.445304961,0.235677135,0.143764633,0.487020898,0.03415751,0.347666417
00770 Pantothenate and CoA biosynthesis [PATH:ko00770],3.755645137,3.692372096,3.826828569,0.14673258,0.221055175,0.541689096,0.234070273,0.263527224,0.601497566,0.034917549,0.348366632
04510 Focal adhesion [PATH:ko04510],-3.383664281,-3.006681893,-3.76498928,-0.853000123,1.398819881,-0.559453155,0.25130213,0.047017317,0.42133074,0.039234296,0.34862744
00750 Vitamin B6 metabolism [PATH:ko00750],2.637136984,2.558364784,2.719107293,0.164211766,0.340940479,0.463592945,0.247395881,0.092556683,0.434434135,0.038642781,0.353073975
00440 Phosphonate and phosphinate metabolism [PATH:ko00440],0.89646324,0.742661192,1.014309496,0.292916256,0.499801138,0.552086906,0.24577378,0.051318798,0.425228704,0.038763886,0.353991629
04111 Cell cycle - yeast [PATH:ko04111],-7.072747564,-6.019154713,-7.865631133,-1.705533895,2.545076953,-0.594692773,0.248697964,0.056636613,0.416643968,0.050556619,0.356900546
04145 Phagosome [PATH:ko04145],-3.296853091,-2.767942162,-3.742829412,-0.641445211,1.170535995,-0.554365589,0.253576119,0.065042114,0.428189792,0.053130776,0.365129648
03010 Ribosome [PATH:ko03010],6.783678235,6.731664541,6.848217799,0.169745772,0.275356585,0.628414698,0.24967495,0.024419498,0.400496508,0.052495446,0.365692546
00670 One carbon pool by folate [PATH:ko00670],3.854208224,3.734648839,3.880392405,0.145818319,0.198698381,0.619010498,0.261378457,0.076228209,0.430570322,0.053953895,0.366343952
00030 Pentose phosphate pathway [PATH:ko00030],5.16209974,5.133457925,5.220801219,0.103643254,0.241131878,0.412151757,0.270481185,0.09047002,0.431930692,0.056544844,0.368505566
04110 Cell cycle [PATH:ko04110],-3.845347663,-3.133561856,-4.550629451,-1.055486405,1.830668125,-0.570552047,0.269531291,0.09845723,0.450230708,0.056836582,0.368781
05340 Primary immunodeficiency [PATH:ko05340],-1.185641851,-1.238428838,-0.897528605,0.427832429,0.684654595,0.603658081,0.265625042,0.019915872,0.3800569,0.059897929,0.372065674
04962 Vasopressin-regulated water reabsorption [PATH:ko04962],-6.286074266,-5.775291808,-6.603369355,-1.118909407,1.943358295,-0.421754548,0.263020877,0.059496002,0.417763183,0.071212423,0.37368029
02010 ABC transporters [PATH:ko02010],7.430107027,7.389607507,7.465844213,0.112847791,0.249668977,0.449411653,0.278283524,0.086678762,0.431092407,0.064446495,0.374897376
00650 Butanoate metabolism [PATH:ko00650],2.005641631,2.04345138,1.86766977,-0.246272963,0.48151298,-0.436372328,0.28645837,0.094762701,0.438567017,0.069399507,0.37663499
05100 Bacterial invasion of epithelial cells [PATH:ko05100],-5.222214839,-4.844832564,-5.453770399,-0.654830758,1.221367158,-0.480076222,0.267880406,0.043289861,0.406193264,0.069884629,0.37895327
03020 RNA polymerase [PATH:ko03020],5.973475894,5.914870604,6.028941438,0.1407722,0.293316043,0.448958955,0.286085863,0.10216181,0.43744201,0.071209747,0.380120272
05016 Huntington's disease [PATH:ko05016],-5.723098833,-4.55057135,-6.30131523,-1.52639552,2.854944494,-0.52616615,0.27343754,0.076014992,0.437328626,0.070344453,0.382378891
00511 Other glycan degradation [PATH:ko00511],2.21946849,2.368603764,2.091317559,-0.236620592,0.521867293,-0.45054048,0.27343754,0.171443322,0.510318499,0.073561457,0.383481685
03420 Nucleotide excision repair [PATH:ko03420],5.641542488,5.611429389,5.691003533,0.105108456,0.243946089,0.431506262,0.275682744,0.14951303,0.496722443,0.075005843,0.38498305
03070 Bacterial secretion system [PATH:ko03070],5.683020409,5.612417725,5.700249079,0.15615776,0.265626784,0.597446077,0.289987032,0.031064914,0.407487094,0.078885797,0.388140385
00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],3.30781908,3.251994655,3.338907125,0.129442232,0.228111134,0.538402624,0.291287422,0.067317501,0.427682486,0.081449212,0.388933431
"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]",6.953381221,6.925211556,6.985149946,0.103156747,0.206712321,0.439283755,0.279583914,0.089616205,0.431643634,0.084887357,0.392476549
00051 Fructose and mannose metabolism [PATH:ko00051],5.000396728,4.93093463,5.074736455,0.127950079,0.216764858,0.517795101,0.283854204,0.057317262,0.427272368,0.085283241,0.392496372
04146 Peroxisome [PATH:ko04146],3.228871084,3.140640034,3.397342083,0.191324018,0.403333618,0.437293592,0.281250038,0.092720703,0.433755795,0.08937828,0.395695784
00190 Oxidative phosphorylation [PATH:ko00190],5.730126525,5.672736908,5.752385009,0.135152433,0.242345355,0.500427714,0.282552121,0.068990584,0.429406077,0.092432254,0.400059228
00240 Pyrimidine metabolism [PATH:ko00240],5.755606397,5.715728375,5.804316413,0.095934997,0.195988939,0.452293296,0.2994792,0.061544556,0.428554674,0.09394347,0.403269727
04940 Type I diabetes mellitus [PATH:ko04940],-3.173005358,-3.498228868,-2.851904096,0.652506611,1.668365848,0.393656024,0.289062536,0.202324858,0.542222472,0.0977089,0.407886121
00640 Propanoate metabolism [PATH:ko00640],-0.13938436,-0.259536978,-0.052804975,0.207265666,0.436481105,0.429997415,0.30169054,0.225216253,0.565291361,0.103044571,0.413448336
04974 Protein digestion and absorption [PATH:ko04974],0.369973167,0.657476454,0.124641102,-0.538982773,1.026667807,-0.442596855,0.302083366,0.094872582,0.438263762,0.102335408,0.415158282
04112 Cell cycle - Caulobacter [PATH:ko04112],5.58826427,5.505920944,5.631553242,0.09765501,0.18840824,0.459301809,0.299089761,0.083907275,0.431563714,0.111314549,0.422889436
04010 MAPK signaling pathway [PATH:ko04010],-5.867624715,-5.441977137,-6.189791584,-1.126432331,2.032299437,-0.506674846,0.289987032,0.068700663,0.430454381,0.107873555,0.422920671
04520 Adherens junction [PATH:ko04520],-6.078097356,-5.470025589,-6.517222313,-0.869233653,1.659004026,-0.53593513,0.2994792,0.10075682,0.449480565,0.119984393,0.429151802
04075 Plant hormone signal transduction [PATH:ko04075],-6.627039822,-6.326287795,-7.113001495,-0.779408274,1.530613591,-0.461359971,0.295572951,0.098292594,0.442588481,0.124524274,0.433241983
00620 Pyruvate metabolism [PATH:ko00620],5.34781888,5.274362122,5.378248287,0.111544608,0.250387176,0.426866571,0.30299093,0.161720254,0.50687383,0.120257196,0.434384012
05032 Morphine addiction [PATH:ko05032],-4.16000587,-4.524854863,-3.678621575,0.978700204,1.686410608,0.51905596,0.307291699,0.118797181,0.465107339,0.11869786,0.434838106
03320 PPAR signaling pathway [PATH:ko03320],-7.49708338,-7.121950164,-8.053481495,-1.165418072,2.627412988,-0.434578869,0.296875034,0.124375218,0.471336244,0.130669601,0.435692237
04530 Tight junction [PATH:ko04530],-6.721615476,-6.317487985,-7.29034,-1.16312831,2.3930286,-0.496954286,0.305989616,0.103972511,0.455708838,0.130426104,0.446654796
00930 Caprolactam degradation [PATH:ko00930],-4.038723883,-4.369863928,-3.834631563,0.469219719,0.89306648,0.470008299,0.310793269,0.12566513,0.471606459,0.136425804,0.450702629
02060 Phosphotransferase system (PTS) [PATH:ko02060],3.808521985,3.844614351,3.599166968,-0.195410907,0.380591177,-0.3136381,0.314694439,0.805731264,0.923738228,0.132813367,0.453801694
03030 DNA replication [PATH:ko03030],5.950957491,5.871936186,5.987822311,0.099150265,0.212081973,0.392886992,0.314694439,0.205661856,0.545362354,0.139661899,0.460447237
04012 ErbB signaling pathway [PATH:ko04012],-5.854775055,-5.568157504,-6.338762589,-1.293053966,2.762934451,-0.39752198,0.310793269,0.086284487,0.440921109,0.142438326,0.463895811
