,GC.RM.8672.BT5011.1_quant,GC.RM.8672.BT5011.10_quant,GC.RM.8672.BT5011.11_quant,GC.RM.8672.BT5011.12_quant,GC.RM.8672.BT5011.141_quant,GC.RM.8672.BT5011.142_quant,GC.RM.8672.BT5011.143_quant,GC.RM.8672.BT5011.144_quant,GC.RM.8672.BT5011.145_quant,GC.RM.8672.BT5011.146_quant,GC.RM.8672.BT5011.147_quant,GC.RM.8672.BT5011.148_quant,GC.RM.8672.BT5011.149_quant,GC.RM.8672.BT5011.150_quant,GC.RM.8672.BT5011.151_quant,GC.RM.8672.BT5011.152_quant,GC.RM.8672.BT5011.2_quant,GC.RM.8672.BT5011.3_quant,GC.RM.8672.BT5011.4_quant,GC.RM.8672.BT5011.5_quant,GC.RM.8672.BT5011.6_quant,GC.RM.8672.BT5011.7_quant,GC.RM.8672.BT5011.8_quant,GC.RM.8672.BT5011.9_quant
ENSRNOG00000000001,0.167407,0,0,0,0,0,0,0.072449,0,0,0,0.210077,0,0.117912,0.145237,0,0,0.074575,0,0.380362,0,0,0,0
ENSRNOG00000000007,0.034982,0,0.029053,0,0.087562,0.077276,0.207502,0.121226,0.025729,0.052159,0.071323,0.029407,0.076428,0.016262,0.151723,0.033039,0.130413,0,0,0.159824,0,0.072413,0.053554,0
ENSRNOG00000000008,0,0,0,0,0,0,0.167093,0,0,0.048855,0,0.055108,0,0,0,0,0,0.057804,0,0,0.039243,0.045565,0,0.055086
ENSRNOG00000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117892,0,0,0,0,0,0,0,0,0
ENSRNOG00000000012,0,0,0.322634,0,0.106235,0,0,0,0,0,0,0.321181,0.095185,0,0.780705,0,0.170615,0,0,0,0,0.089851,0,0.107889
ENSRNOG00000000017,0,0,0.31466,0.291989,0.078189,0.415083,0,0.326334,0.070253,0,0.484317,0,0.34693,0.310562,0.081794,0,0,0,0,0,0,0.196763,0,0
ENSRNOG00000000021,3.055299,2.319734,1.870663,1.34056,0.506401,0.448203,0,2.467334,2.992698,1.1305,2.82807,2.89168,3.602728,2.640145,2.385742,1.819978,0.729343,1.011903,0.208408,0,0.54552,2.411512,2.385471,2.562398
ENSRNOG00000000024,113.954574,109.477585,125.308255,128.873355,94.575132,71.897248,19.511371,104.600267,98.831036,83.828347,109.657061,93.335331,102.229176,105.442062,91.899488,104.183333,108.396112,113.530477,84.736617,66.89061,83.547295,98.851241,123.912485,118.135717
ENSRNOG00000000033,1.225905,1.181417,1.502239,0.610202,0.877224,0.494492,1.212034,1.188621,0.5789,0.56613,1.575815,2.037674,1.720001,0.677609,1.265911,0.937613,0.57805,0.84934,0.705187,1.174263,0.733665,1.147049,1.315933,1.807378
ENSRNOG00000000034,5.585076,5.282268,4.576376,9.296112,4.088031,3.832068,1.674077,4.180042,5.089241,3.511111,3.75845,4.661605,4.457088,5.42548,4.449213,6.242525,3.406353,3.436118,3.1424,3.435796,4.40821,5.638689,3.696679,5.628771
ENSRNOG00000000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000036,1.321496,0.632903,0.731603,0.498491,0.763412,0.848369,0.200994,1.732018,0.872064,1.136902,1.899565,1.538305,1.381614,1.086604,0.969945,1.088154,0.462829,1.978707,0.45528,1.021866,0.40543,0.935067,1.529768,1.077601
ENSRNOG00000000040,0.129221,0.178023,0.118652,0.073438,0.064749,0.231642,0.072681,0.148621,0.868194,0.021328,0.145594,0.296874,0.124775,0.092903,0.173583,0.162065,0.053056,0.220108,0.134283,0.156845,0.102659,0.200276,0.197292,0.194611
