,GC-RM-8672-BT5011-1_quant,GC-RM-8672-BT5011-10_quant,GC-RM-8672-BT5011-11_quant,GC-RM-8672-BT5011-12_quant,GC-RM-8672-BT5011-141_quant,GC-RM-8672-BT5011-142_quant,GC-RM-8672-BT5011-143_quant,GC-RM-8672-BT5011-144_quant,GC-RM-8672-BT5011-145_quant,GC-RM-8672-BT5011-146_quant,GC-RM-8672-BT5011-147_quant,GC-RM-8672-BT5011-148_quant,GC-RM-8672-BT5011-149_quant,GC-RM-8672-BT5011-150_quant,GC-RM-8672-BT5011-151_quant,GC-RM-8672-BT5011-152_quant,GC-RM-8672-BT5011-2_quant,GC-RM-8672-BT5011-3_quant,GC-RM-8672-BT5011-4_quant,GC-RM-8672-BT5011-5_quant,GC-RM-8672-BT5011-6_quant,GC-RM-8672-BT5011-7_quant,GC-RM-8672-BT5011-8_quant,GC-RM-8672-BT5011-9_quant
ENSRNOG00000000021,28.89759017,24.14307624,23.75134921,18.20903841,6.918028454,6.39059164,0,23.41629853,27.75675382,13.40021044,29.82955366,26.66813887,32.30595477,28.12376281,25.27786571,17.43809438,13.03476052,13.38738411,3.46998073,0,8.97221188,23.30684944,29.04528749,27.63253615
ENSRNOG00000000024,928.438458,981.5059267,1370.521589,1507.915796,1112.95586,883.0634915,453.2280612,855.1384213,797.052761,855.9438289,996.3377698,741.4841717,789.6586722,967.5489955,838.770869,859.8929023,1668.777813,1293.845699,1215.335615,1246.355762,1183.680666,822.9806067,1299.660834,1097.409699
ENSRNOG00000000033,40.79401585,43.26028763,67.10632298,29.16123108,42.1628742,24.80600051,114.9905781,39.68855639,19.06847079,23.6096319,58.47815199,66.11637533,54.26396008,25.39550002,47.19016105,31.60734619,36.34700632,39.53393105,41.30930308,89.36359722,42.45398908,39.00389657,56.37247495,68.5732376
ENSRNOG00000000034,142.6626548,148.4732564,156.9234525,341.0164339,150.825708,147.5614102,121.917081,107.1381513,128.6787238,112.3981175,107.0628507,116.1051399,107.9383063,156.0835836,127.3131837,161.5349581,164.4123725,122.7716501,141.3014751,200.7077921,195.8053278,147.1789449,121.5588736,163.9309886
ENSRNOG00000000036,37.86370459,19.95449792,28.13958124,20.51196176,31.59336643,36.6437984,16.4190668,49.79571199,24.73306385,40.82379316,60.6960249,42.97682298,37.53072915,35.06439597,31.13245093,31.58439791,25.05771257,79.30261053,22.96360365,66.95864546,20.20015263,27.37701749,56.4256412,35.20313593
ENSRNOG00000000040,4.291122553,6.505230352,5.289311327,3.502317712,3.105632696,11.59617418,6.881274113,4.952239322,28.5383001,0.887611185,5.391771131,9.612715492,3.928344373,3.474635377,6.457384094,5.4519835,3.329206669,10.22405784,7.849888337,11.91149144,5.928138661,6.796029299,8.434191587,7.368413347
ENSRNOG00000000041,2218.468587,2325.036062,2235.080946,1734.593184,1197.01507,1170.240094,1086.57228,2056.262184,1327.688662,1642.768944,2121.743121,1851.346917,2204.678016,1250.947027,1485.579326,1300.599503,2118.038366,1833.388338,2198.501676,1480.667539,2031.812242,1924.170284,1726.439998,1845.945642
ENSRNOG00000000042,132.0722938,85.27469309,82.47674057,40.47225505,13.8368642,7.437981361,7.704671668,47.45057704,68.00091172,22.47099302,63.01690123,62.28040483,62.27496853,52.48339025,54.42937743,52.6511298,38.63186294,33.63992225,20.44046914,8.872516193,1.991136481,92.64287953,48.55532347,56.94903107
ENSRNOG00000000043,68.87510765,94.12516935,47.61505129,47.46265822,182.2280582,85.0299846,44.52447555,150.9265829,129.4622558,112.2909274,69.5482859,92.16514495,123.406776,78.84606103,147.0556625,220.7897773,73.27489399,147.7647198,54.02603242,54.68625915,72.61243656,80.10969846,22.03531625,87.03419388
ENSRNOG00000000044,48.4732549,30.97963724,37.87200331,73.30553859,45.49760526,50.53611096,30.44234857,34.54374108,48.85498004,54.26000369,43.06483128,50.78428463,30.86912006,52.43412549,35.79961842,35.21543245,41.38171403,62.42150154,54.07302523,20.22645276,73.53723497,52.05279169,55.64231789,62.00915188
ENSRNOG00000000047,737.7756687,690.2976202,971.4900042,1221.972543,714.3698076,1072.983274,1365.54276,709.9881186,711.4047986,634.8558685,765.6317846,561.8930001,591.2241931,998.8180606,758.3791585,705.5686399,1233.204959,1004.080948,892.0730001,992.3345143,857.2618127,753.8601345,697.4652269,856.2801249
ENSRNOG00000000048,751.1713931,672.6457198,579.1032185,538.1255407,431.4411983,396.133322,373.3414822,508.651306,527.9132584,442.7034536,499.7185154,534.2517942,557.7973063,478.6720232,418.3021688,467.0553686,441.6040153,419.5187615,401.3418987,272.4464122,425.9314936,690.2698089,500.1318244,582.1344186
ENSRNOG00000000053,89392.38377,93960.63817,86269.02951,104611.2306,56542.43935,75751.40161,6281.081298,66972.24186,77293.32779,65241.55873,74606.71065,69669.91937,68696.38462,94960.66836,66786.89354,71256.77576,91065.37387,65510.18633,51777.24575,32190.14935,42706.12656,85894.62812,64255.62112,88507.5496
ENSRNOG00000000054,7.750479695,13.26483565,12.98332392,17.2367171,11.64966111,32.22178571,51.47807904,17.67875207,15.59113502,18.06001784,8.836250507,28.52654233,13.42949401,30.05950748,22.59553264,18.51362354,32.32472728,24.84773965,10.36409368,34.33427815,36.22049151,21.92404633,11.5289357,17.57675047
ENSRNOG00000000062,32.86056297,27.54561079,27.03803261,12.8965718,19.70638344,8.55926593,39.66979543,26.0220774,24.88347623,8.084835332,21.00611817,24.44447716,23.55148809,6.642194087,21.60390477,16.5961999,24.61781226,13.23157785,19.64100085,6.027532623,16.02839735,21.9486062,23.17618113,20.31928256
