gene_id,gene_name,gene_source,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,FC
ENSRNOG00000046912,Nr1d2,ensembl,protein_coding,348.5917155,1.998783561,0.204891861,9.755309701,1.75E-22,1.99E-18,3.996628738
ENSRNOG00000009329,Nr1d1,ensembl,protein_coding,334.0611493,3.511755599,0.373769274,9.395517081,5.69E-21,3.23E-17,11.40627329
ENSRNOG00000000521,Cdkn1a,ensembl,protein_coding,217.9165995,-1.949102535,0.24062614,-8.10012801,5.49E-16,2.08E-12,-3.861342522
ENSRNOG00000013982,Hsd17b2,ensembl,protein_coding,1935.116171,1.752584198,0.244980516,7.153973834,8.43E-13,2.39E-09,3.369616014
ENSRNOG00000020836,Rorc,ensembl,protein_coding,1330.824036,-0.886393501,0.125499086,-7.062947855,1.63E-12,3.44E-09,-1.848549275
ENSRNOG00000051819,Sdr42e1,ensembl,protein_coding,694.3198194,0.795132546,0.112819287,7.047842314,1.82E-12,3.44E-09,1.73523679
ENSRNOG00000056135,Tsc22d3,ensembl,protein_coding,399.0787098,-1.041768729,0.15038825,-6.927194992,4.29E-12,6.97E-09,-2.058750113
ENSRNOG00000007387,Per1,ensembl,protein_coding,39.79224079,-1.601038589,0.2435943,-6.572561787,4.95E-11,7.02E-08,-3.033616232
ENSRNOG00000045553,Proser2,ensembl_havana,protein_coding,114.0868484,-0.802472871,0.123045603,-6.521751707,6.95E-11,8.77E-08,-1.744088044
ENSRNOG00000010165,Tnfaip2,ensembl,protein_coding,238.1386232,0.947908597,0.14929517,6.349224819,2.16E-10,2.46E-07,1.929074147
ENSRNOG00000005513,Srsf5,ensembl,protein_coding,857.502243,0.791846291,0.127666494,6.202459739,5.56E-10,5.74E-07,1.731288664
ENSRNOG00000049900,Irf2bp2,ensembl,protein_coding,170.3492645,-0.781662234,0.127746866,-6.118836853,9.43E-10,8.93E-07,-1.719110444
ENSRNOG00000006622,Cry1,ensembl,protein_coding,87.76645574,-1.286048425,0.218111847,-5.896279562,3.72E-09,3.25E-06,-2.438592039
ENSRNOG00000046683,Lilrb3,ensembl,protein_coding,18.45842745,2.329966215,0.397205911,5.865890089,4.47E-09,3.63E-06,5.027935751
ENSRNOG00000013090,Gadd45g,ensembl,protein_coding,177.5445029,1.485379943,0.254085262,5.845990175,5.04E-09,3.81E-06,2.799909009
ENSRNOG00000019661,Gdf15,ensembl,protein_coding,38.67300557,1.847107362,0.331754095,5.56770026,2.58E-08,1.83E-05,3.597780976
ENSRNOG00000021027,Dbp,ensembl,protein_coding,132.1447907,2.428032324,0.444448314,5.463025164,4.68E-08,3.13E-05,5.381589408
ENSRNOG00000019598,Vegfa,ensembl,protein_coding,1088.670361,0.944108024,0.173395438,5.444826211,5.19E-08,3.27E-05,1.923998966
ENSRNOG00000000503,Ppard,ensembl,protein_coding,183.3447352,-1.142394267,0.211784703,-5.394130216,6.89E-08,4.12E-05,-2.207470666
ENSRNOG00000033433,Csrnp1,ensembl,protein_coding,68.32579054,1.050156431,0.195030456,5.384576613,7.26E-08,4.13E-05,2.070754367
ENSRNOG00000012436,Adh6,ensembl,protein_coding,20315.58154,-0.526074587,0.099133537,-5.306726674,1.12E-07,6.04E-05,-1.440005765
ENSRNOG00000026600,Caps2,ensembl,protein_coding,25.12233932,1.326610089,0.250848051,5.288500686,1.23E-07,6.20E-05,2.508126456
ENSRNOG00000057823,Ubc,ensembl,protein_coding,10896.16219,-0.767330469,0.145178029,-5.285444883,1.25E-07,6.20E-05,-1.702117307
ENSRNOG00000033133,Nae1,ensembl_havana,protein_coding,153.2490795,0.57146998,0.110930786,5.151590476,2.58E-07,0.000122288,1.486036942
ENSRNOG00000013865,Zmym6,ensembl,protein_coding,79.53490731,0.883215902,0.171855264,5.139300843,2.76E-07,0.00012534,1.844482245
ENSRNOG00000003977,Dusp1,ensembl,protein_coding,415.6138304,1.624298588,0.316640753,5.129783742,2.90E-07,0.000126774,3.082922427
ENSRNOG00000004006,Dnajb9,ensembl_havana,protein_coding,582.8946122,-0.77046957,0.15247607,-5.053052374,4.35E-07,0.000182988,-1.705824907
ENSRNOG00000013791,Enpp3,ensembl,protein_coding,1420.569868,-0.543273113,0.111387785,-4.877313195,1.08E-06,0.000436423,-1.457274961
ENSRNOG00000025764,AC128848.1,ensembl,protein_coding,45.63115017,3.470466997,0.717907162,4.834144557,1.34E-06,0.000523949,11.08446318
ENSRNOG00000011586,LOC100909712,ensembl,protein_coding,217.8956652,0.877754229,0.182957761,4.797578543,1.61E-06,0.000608281,1.837512711
ENSRNOG00000053231,LOC103694872,ensembl,protein_coding,3518.468262,-0.71289948,0.149624182,-4.764600691,1.89E-06,0.000693612,-1.639095007
ENSRNOG00000007229,Nr0b2,ensembl,protein_coding,73.18930355,1.878550666,0.399246839,4.705236161,2.54E-06,0.000886297,3.67705477
