category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,padjust
4710,4.59E-05,0.99999854,4,19,0.01033264
4115,0.001747315,0.999840106,4,47,0.196572893
4742,0.004933361,0.999859803,2,10,0.370002083
360,0.00770401,0.999715688,2,12,0.433350547
4110,0.016701205,0.997026919,4,90,0.751554233
350,0.020808812,0.998631368,2,20,0.780330468
3320,0.031970683,0.994967914,3,62,0.836002522
140,0.032086816,0.997297342,2,25,0.836002522
4960,0.035071186,0.996880266,2,28,0.836002522
5219,0.039779889,0.996204176,2,29,0.836002522
270,0.042805098,0.995741808,2,30,0.836002522
400,0.044586801,0.999246329,1,4,0.836002522
4330,0.049702109,0.994596282,2,35,0.860228815
4380,0.074063478,0.983592945,3,88,1
130,0.076731544,0.997420146,1,7,1
4976,0.099548366,0.983831171,2,49,1
4916,0.111815009,0.980536444,2,53,1
4010,0.113403963,0.962421938,4,171,1
3450,0.116169778,0.993639194,1,11,1
900,0.146076251,0.989613102,1,14,1
4950,0.146557063,0.989542599,1,14,1
5340,0.171673874,0.985319344,1,17,1
591,0.176023752,0.984538793,1,17,1
5200,0.194765327,0.921286743,4,212,1
4630,0.197409874,0.95136113,2,75,1
1040,0.210332022,0.977364413,1,21,1
5217,0.216025395,0.975970128,1,23,1
4310,0.258038933,0.924438338,2,94,1
5160,0.259557487,0.923746989,2,90,1
4971,0.279207259,0.958297281,1,32,1
4930,0.286193035,0.956052159,1,32,1
260,0.288507624,0.955379444,1,30,1
4962,0.29560517,0.95288092,1,33,1
983,0.319955162,0.944157689,1,34,1
830,0.327709561,0.94117015,1,35,1
5414,0.329508682,0.940391712,1,37,1
4970,0.330394801,0.939972291,1,39,1
590,0.344349306,0.934463721,1,37,1
510,0.35131574,0.931483831,1,39,1
520,0.366123946,0.925034622,1,40,1
4150,0.37337955,0.921650948,1,43,1
5218,0.375392554,0.920729436,1,43,1
3040,0.379393833,0.855582636,2,118,1
5214,0.381486344,0.917827128,1,45,1
4972,0.386907758,0.915189638,1,47,1
980,0.395085141,0.911334416,1,44,1
