category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,padjust
GO:1901360,1.76E-08,0.999999994,71,3699,organic cyclic compound metabolic process,BP,0.000174936
GO:0019219,2.57E-08,0.999999991,52,2290,regulation of nucleobase-containing compound metabolic process,BP,0.000174936
GO:0045935,3.56E-08,0.99999999,36,1265,positive regulation of nucleobase-containing compound metabolic process,BP,0.000174936
GO:0009725,8.32E-08,0.999999979,28,847,response to hormone,BP,0.000306309
GO:0006139,1.22E-07,0.999999955,66,3452,nucleobase-containing compound metabolic process,BP,0.000320609
GO:0032870,1.31E-07,0.999999973,21,513,cellular response to hormone stimulus,BP,0.000320609
GO:0006725,1.89E-07,0.999999929,67,3567,cellular aromatic compound metabolic process,BP,0.000378762
GO:0048545,2.06E-07,0.999999964,17,345,response to steroid hormone,BP,0.000378762
GO:0046483,3.52E-07,0.999999864,66,3540,heterocycle metabolic process,BP,0.000575892
GO:0090304,5.30E-07,0.999999796,59,3027,nucleic acid metabolic process,BP,0.000781139
GO:0051254,6.54E-07,0.999999802,31,1113,positive regulation of RNA metabolic process,BP,0.000806334
GO:1901362,6.71E-07,0.999999748,51,2445,organic cyclic compound biosynthetic process,BP,0.000806334
GO:0009314,7.12E-07,0.999999869,16,337,response to radiation,BP,0.000806334
GO:0006357,7.70E-07,0.999999756,33,1244,regulation of transcription by RNA polymerase II,BP,0.000809995
GO:0034654,8.45E-07,0.999999684,49,2318,nucleobase-containing compound biosynthetic process,BP,0.000829582
GO:0019438,1.54E-06,0.999999409,49,2363,aromatic compound biosynthetic process,BP,0.001401726
GO:0018130,1.62E-06,0.999999378,49,2367,heterocycle biosynthetic process,BP,0.001401726
GO:0007623,1.94E-06,0.999999747,11,167,circadian rhythm,BP,0.00153202
GO:0006366,1.98E-06,0.999999344,33,1297,transcription by RNA polymerase II,BP,0.00153202
GO:2000112,2.16E-06,0.999999177,46,2177,regulation of cellular macromolecule biosynthetic process,BP,0.001587811
GO:0032922,2.55E-06,0.999999836,7,57,circadian regulation of gene expression,BP,0.001786176
GO:0042752,3.42E-06,0.999999704,8,84,regulation of circadian rhythm,BP,0.002292248
GO:0051252,3.60E-06,0.999998615,44,2072,regulation of RNA metabolic process,BP,0.002305046
GO:0014070,4.23E-06,0.999998746,25,851,response to organic cyclic compound,BP,0.002586343
GO:0009648,4.47E-06,0.999999856,5,23,photoperiodism,BP,0.002586343
GO:0031326,4.57E-06,0.999998177,48,2379,regulation of cellular biosynthetic process,BP,0.002586343
GO:0009719,5.69E-06,0.999998066,31,1236,response to endogenous stimulus,BP,0.003103568
GO:0033993,6.13E-06,0.999998187,24,810,response to lipid,BP,0.003222345
GO:0010556,7.00E-06,0.999997188,46,2269,regulation of macromolecule biosynthetic process,BP,0.003437451
GO:0071495,7.00E-06,0.999997807,26,945,cellular response to endogenous stimulus,BP,0.003437451
GO:0006355,7.42E-06,0.999997147,40,1846,"regulation of transcription, DNA-templated",BP,0.003524881
GO:0009628,7.92E-06,0.999997558,25,884,response to abiotic stimulus,BP,0.003551569
GO:0048511,7.96E-06,0.99999866,12,233,rhythmic process,BP,0.003551569
GO:0009889,8.73E-06,0.999996414,48,2433,regulation of biosynthetic process,BP,0.003781798
GO:1903506,1.20E-05,0.999995262,40,1882,regulation of nucleic acid-templated transcription,BP,0.005065683
GO:0010604,1.32E-05,0.999994623,44,2180,positive regulation of macromolecule metabolic process,BP,0.005391792
GO:2001141,1.37E-05,0.999994554,40,1892,regulation of RNA biosynthetic process,BP,0.005473045
GO:0034641,1.82E-05,0.99999183,67,3998,cellular nitrogen compound metabolic process,BP,0.007060884
GO:0006351,2.05E-05,0.99999174,40,1925,"transcription, DNA-templated",BP,0.007723732
GO:0080090,2.24E-05,0.99998994,61,3549,regulation of primary metabolic process,BP,0.008255763
GO:0009893,2.43E-05,0.999989662,46,2381,positive regulation of metabolic process,BP,0.008714547
GO:2000113,2.48E-05,0.999991763,25,943,negative regulation of cellular macromolecule biosynthetic process,BP,0.008714547
GO:0051173,2.84E-05,0.999988145,42,2097,positive regulation of nitrogen compound metabolic process,BP,0.009736203
GO:0097659,3.13E-05,0.999987103,40,1959,nucleic acid-templated transcription,BP,0.010376562
GO:1901700,3.17E-05,0.999988141,31,1338,response to oxygen-containing compound,BP,0.010376562
GO:0044271,3.36E-05,0.999985072,52,2851,cellular nitrogen compound biosynthetic process,BP,0.010751352
GO:0031327,3.55E-05,0.999987703,26,1025,negative regulation of cellular biosynthetic process,BP,0.011129441
GO:0032774,3.80E-05,0.999984168,40,1975,RNA biosynthetic process,BP,0.011584537
GO:0010468,3.85E-05,0.999983159,47,2495,regulation of gene expression,BP,0.011584537
GO:0051171,3.97E-05,0.999981809,59,3444,regulation of nitrogen compound metabolic process,BP,0.011704977
GO:0042113,4.08E-05,0.999994063,9,151,B cell activation,BP,0.011794484
