ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14
215254,185,240,245,265,275,285,305,315,320,325,335,350,360,350
215271,200,245,270,285,305,320,335,345,355,360,375,385,400,400
215286,185,225,245,265,285,300,305,310,325,330,340,350,360,350
215301,175,205,220,240,255,265,270,275,290,295,300,300,310,315
215328,220,245,255,280,285,295,305,310,320,315,330,335,340,340
215347,180,205,225,235,255,265,275,285,305,310,310,315,320,320
215373,160,195,215,235,245,255,265,275,285,285,300,320,315,315
215392,200,230,250,260,275,280,295,305,310,315,325,335,335,330
215417,185,220,240,250,260,270,280,285,295,295,305,315,320,315
215434,190,215,230,245,260,265,280,285,290,295,305,315,320,315
215459,195,220,245,260,280,285,300,305,315,320,330,340,345,345
215474,190,205,225,240,245,255,260,265,275,270,280,275,295,285
215261,180,205,220,235,245,250,270,275,280,290,295,305,305,320
215278,200,225,240,260,270,280,290,305,310,320,330,335,345,330
215300,195,215,230,245,255,265,265,270,270,275,275,280,290,295
215327,225,250,270,280,295,305,315,320,330,335,350,355,370,370
215346,180,205,220,240,250,250,265,270,270,280,290,300,295,295
215366,215,240,265,290,305,305,315,325,350,345,365,385,390,390
215391,225,255,275,290,310,320,325,325,335,340,355,360,360,365
215416,200,230,230,245,260,265,275,280,285,290,300,315,320,320
215433,200,225,245,255,265,260,270,275,280,285,295,300,310,310
215458,195,250,270,280,295,305,315,330,335,340,355,360,365,370
215473,165,210,230,245,250,260,275,280,280,285,300,310,315,320
215498,190,200,215,235,245,250,255,260,270,270,275,280,290,290
