PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,HMDB_ID
1456,(12 or 13)-methylmyristate (a15:0 or i15:0),Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5499,241.2173,2485-71-4,151014,133106,,
1463,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,2724-59-6,3083779,2340933,,HMDB37397
3884,(3'-5')-adenylyladenosine*,Nucleotide,Dinucleotide,62396,LC/MS Neg,100020723,2173,595.14199,,94231,85040,,
3881,(3'-5')-adenylylcytidine,Nucleotide,Dinucleotide,52753,LC/MS Neg,100009062,1920,571.13076,4833-63-0,10875494,9050769,,
3882,(3'-5')-adenylylguanosine*,Nucleotide,Dinucleotide,62760,LC/MS Neg,100020724,1980,611.13691,,444337,392294,,
3883,(3'-5')-adenylyluridine,Nucleotide,Dinucleotide,52740,LC/MS Neg,100009060,2002,572.11478,3051-84-1,112074,100483,,
3885,(3'-5')-cytidylyladenosine,Nucleotide,Dinucleotide,52744,LC/MS Neg,100009061,1754,571.13076,2382-66-3,91519,82640,,
3886,(3'-5')-cytidylylcytidine*,Nucleotide,Dinucleotide,62397,LC/MS Neg,100020727,1472,547.11953,,94237,85046,,
3888,(3'-5')-cytidylyluridine*,Nucleotide,Dinucleotide,62399,LC/MS Neg,100020728,1522,548.10356,,,,,
3890,(3'-5')-guanylylcytidine,Nucleotide,Dinucleotide,52746,LC/MS Neg,100009064,1670,587.12567,4785-04-0,107595,96791,,
3891,(3'-5')-guanylyluridine,Nucleotide,Dinucleotide,52743,LC/MS Neg,100009056,1772,588.10969,1053910,,32821064,,
3895,(3'-5')-uridylyladenosine,Nucleotide,Dinucleotide,52739,LC/MS Neg,100009059,1871,572.11478,3256-24-4,273124,240299,,
3892,(3'-5')-uridylylcytidine*,Nucleotide,Dinucleotide,62398,LC/MS Neg,100020729,1591,548.10356,,,,,
3893,(3'-5')-uridylylguanosine,Nucleotide,Dinucleotide,52742,LC/MS Neg,100009057,1637,588.10969,574985,107394,96654,,
3894,(3'-5')-uridylyluridine,Nucleotide,Dinucleotide,52741,LC/MS Neg,100009058,1688,549.08756,2415-43-2,102258,92384,,
474,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.17574,,,,,
2666,"1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*",Lipid,Galactosyl Glycerolipids,54899,LC/MS Pos Late,100010879,2415,796.59333,,6535011,5019375,,
2086,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2006,782.56944,998-06-1,5288075,4450312,,HMDB08138
2168,"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,Phosphatidylethanolamine (PE),53174,LC/MS Pos Late,100009217,2083,740.52248,,9546812,7825762,,HMDB09093
2160,"1,2-dioleoyl-GPE (18:1/18:1)",Lipid,Phosphatidylethanolamine (PE),52609,LC/MS Pos Late,100008906,2485,744.55378,768593,9546757,7825707,,
2009,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2365,734.56944,63-89-8,452110,398235,,HMDB00564
2129,"1,2-dipalmitoyl-GPE (16:0/16:0)*",Lipid,Phosphatidylethanolamine (PE),57341,LC/MS Pos Late,100009204,2498,692.52248,,445468,393103,,HMDB08923
1068,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.06119,154-58-5,64960,,C07326,HMDB02712
2525,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen,44621,LC/MS Pos Late,100005372,1566,464.3136,,,,,
2502,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen,52689,LC/MS Pos Late,100009014,2154,766.57452,,,24767495,,HMDB11220
2494,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,52673,LC/MS Pos Late,100009002,2270,724.52757,,,24769238,,HMDB11352
2491,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,52677,LC/MS Pos Late,100009069,2351,700.52757,,,24769229,,HMDB11343
2523,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,39270,LC/MS Pos Late,100003000,1558,438.2979,,,10471193,,
2507,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,52475,LC/MS Pos Late,100008999,2511,752.55887,,9547058,7826008,,HMDB05779
2499,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2633,728.55887,,,24769261,,HMDB11376
2527,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,39271,LC/MS Pos Late,100003001,1649,466.3292,,,,,
2336,1-arachidonoyl-GPC (20:4n6)*,Lipid,Lysophospholipid,33228,LC/MS Pos Late,100001551,1460,544.33977,,,21403155,C05208,HMDB10395
2546,1-linolenoylglycerol (18:3),Lipid,Monoacylglycerol,34393,LC/MS Neg,100001435,6214,277.21728,124151-74-2,53480978,21403134,,HMDB11569
2091,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),52710,LC/MS Pos Late,100009131,1969,806.56944,,,24766809,,HMDB08147
2087,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),53176,LC/MS Pos Late,100009343,1939,780.55378,,,24766802,,HMDB08141
2318,1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,34419,LC/MS Pos Late,100001395,1465,520.33977,,11988421,10160888,C04100,HMDB10386
2369,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,36600,LC/MS Pos Late,100001570,1482,478.29282,,52925130,21403170,,HMDB11507
2408,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516,507.27284,,,,,
2545,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,27447,LC/MS Neg,100001040,6477,279.23293,2277-28-3,5283469,4446589,,
85,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,32350,LC/MS Pos Early,100001208,2064,141.06586,2625-49-2,75810,68319,C05828,HMDB02820
86,1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,62946,LC/MS Pos Early,100002910,1989,141.06586,4200-48-0,6451814,4954265,,HMDB04988
3754,1-methyladenine,Nucleotide,"Purine Metabolism, Adenine containing",1527,LC/MS Pos Early,54,2133,150.07743,5142-22-3,78821,71157,C02216,HMDB11599
484,1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism,48114,LC/MS Pos Early,100000715,2149,74.07127,22661-87-6,10111,28576,C02294,HMDB01522
84,1-methylhistamine,Amino Acid,Histidine Metabolism,43831,LC/MS Pos Early,100001204,3040,126.10258,501-75-7,3614,3488,C05127,HMDB00898
1993,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2147,706.53813,69525-80-0,129657,114798,,HMDB07869
2537,1-myristoylglycerol (14:0),Lipid,Monoacylglycerol,35625,LC/MS Neg,100001618,6353.3,227.20163,75685-84-6,79050,71382,C01885,HMDB11561
2085,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),52697,LC/MS Pos Late,100009130,2011,832.58509,,,24766785,,HMDB08123
2075,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phosphatidylcholine (PC),52453,LC/MS Pos Late,100008981,2165,784.58509,,,,,
2161,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Lipid,Phosphatidylethanolamine (PE),52687,LC/MS Pos Late,100009078,2270,742.53813,,9546753,7825703,,HMDB05349
2315,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,48258,LC/MS Pos Late,100001272,1540,522.35542,19420-56-5,16081932,17240641,,HMDB02815
