gene_id	gene_name	gene_source	gene_biotype
ENSRNOG00000046319	AABR07000046.1	ensembl_havana	processed_transcript
ENSRNOG00000047964	AABR07000089.1	ensembl	protein_coding
ENSRNOG00000050370	Vom2r6	ensembl	protein_coding
ENSRNOG00000032365	Vom2r5	ensembl	protein_coding
ENSRNOG00000040300	Raet1e	ensembl	protein_coding
ENSRNOG00000058808	AABR07000109.1	ensembl	snoRNA
ENSRNOG00000061316	Ulbp1	ensembl	protein_coding
ENSRNOG00000050129	AABR07000137.1	ensembl	protein_coding
ENSRNOG00000040316	AABR07000145.1	ensembl	lincRNA
ENSRNOG00000023659	AABR07000147.1	ensembl	protein_coding
ENSRNOG00000029897	AABR07000156.1	ensembl	protein_coding
ENSRNOG00000042852	AABR07000158.1	ensembl	protein_coding
ENSRNOG00000061806	AABR07000158.2	ensembl	snoRNA
ENSRNOG00000055877	AABR07000159.4	ensembl	protein_coding
ENSRNOG00000014303	Lrp11	ensembl	protein_coding
ENSRNOG00000051899	AABR07000159.1	ensembl	miRNA
ENSRNOG00000014330	Pcmt1	ensembl	protein_coding
ENSRNOG00000049505	Nup43	ensembl	protein_coding
ENSRNOG00000014916	Lats1	ensembl	protein_coding
ENSRNOG00000014996	Katna1	ensembl	protein_coding
ENSRNOG00000015239	Ginm1	ensembl	protein_coding
ENSRNOG00000055508	AABR07000159.3	ensembl	pseudogene
ENSRNOG00000053710	AABR07000159.2	ensembl	protein_coding
ENSRNOG00000015552	Ppil4	ensembl	protein_coding
ENSRNOG00000016041	Zc3h12d	ensembl	protein_coding
ENSRNOG00000016054	Tab2	ensembl	protein_coding
ENSRNOG00000016381	Ust	ensembl	protein_coding
ENSRNOG00000054005	U6	ensembl	snRNA
ENSRNOG00000059137	AABR07000173.1	ensembl	lincRNA
ENSRNOG00000013160	Sash1	ensembl	protein_coding
ENSRNOG00000052788	Gm25410	ensembl	snoRNA
ENSRNOG00000023549	Samd5	ensembl	protein_coding
ENSRNOG00000031859	RGD1560633	ensembl	protein_coding
ENSRNOG00000013351	Stxbp5	ensembl	protein_coding
ENSRNOG00000061755	Gm25635	ensembl	snoRNA
ENSRNOG00000053182	AABR07000200.1	ensembl	lincRNA
ENSRNOG00000042741	Adgb	ensembl	protein_coding
ENSRNOG00000014258	Rab32	ensembl	protein_coding
ENSRNOG00000057302	Gm23601	ensembl	snoRNA
ENSRNOG00000014290	Grm1	ensembl	protein_coding
ENSRNOG00000041566	AABR07000220.1	ensembl	miRNA
ENSRNOG00000014431	AABR07000222.1	ensembl	processed_pseudogene
ENSRNOG00000014450	Shprh	ensembl	protein_coding
ENSRNOG00000014852	Fbxo30	ensembl	protein_coding
ENSRNOG00000052274	SNORA70	ensembl	snoRNA
ENSRNOG00000040242	Epm2a	ensembl	protein_coding
ENSRNOG00000054906	AABR07000239.1	ensembl	snoRNA
ENSRNOG00000058048	AABR07000247.1	ensembl	snoRNA
ENSRNOG00000051844	AABR07000248.1	ensembl	pseudogene
ENSRNOG00000053880	SNORA73	ensembl	snoRNA
ENSRNOG00000011058	Utrn	ensembl	protein_coding
ENSRNOG00000014902	Stx11	ensembl	protein_coding
ENSRNOG00000014908	Sf3b5	ensembl	protein_coding
ENSRNOG00000036310	AABR07000257.1	ensembl	miRNA
ENSRNOG00000025587	Plagl1	ensembl	protein_coding
ENSRNOG00000042705	Zc2hc1b	ensembl	protein_coding
ENSRNOG00000043188	AABR07000261.1	ensembl	protein_coding
ENSRNOG00000015217	Ltv1	ensembl	protein_coding
ENSRNOG00000015473	Phactr2	ensembl	protein_coding
ENSRNOG00000015551	Fuca2	ensembl	protein_coding
ENSRNOG00000015660	Pex3	ensembl	protein_coding
ENSRNOG00000046983	Adat2	ensembl	protein_coding
ENSRNOG00000016624	AABR07000276.1	ensembl	protein_coding
ENSRNOG00000010753	Aig1	ensembl	protein_coding
ENSRNOG00000011015	Hivep2	ensembl_havana	protein_coding
ENSRNOG00000011399	AABR07000292.1	ensembl_havana	processed_pseudogene
ENSRNOG00000011411	Adgrg6	ensembl	protein_coding
ENSRNOG00000011540	Vta1	ensembl_havana	protein_coding
ENSRNOG00000012092	Gje1	ensembl	protein_coding
ENSRNOG00000012103	Nmbr	ensembl_havana	protein_coding
ENSRNOG00000059930	AABR07000304.1	ensembl	snoRNA
ENSRNOG00000059032	AABR07000325.1	ensembl	lincRNA
ENSRNOG00000056005	U7	ensembl	snRNA
ENSRNOG00000055342	U7	ensembl	snRNA
ENSRNOG00000047798	AABR07000332.1	ensembl	miRNA
ENSRNOG00000059769	AABR07000356.1	ensembl	miRNA
ENSRNOG00000047193	Olr905	ensembl	protein_coding
ENSRNOG00000060990	AABR07000382.1	ensembl	lincRNA
ENSRNOG00000058425	AABR07000385.2	ensembl	lincRNA
ENSRNOG00000055421	AABR07000385.1	ensembl	protein_coding
ENSRNOG00000051831	5_8S_rRNA	ensembl	rRNA
ENSRNOG00000052007	AABR07000392.1	ensembl	misc_RNA
ENSRNOG00000061685	AABR07000398.2	ensembl	misc_RNA
ENSRNOG00000047746	AABR07000398.1	ensembl	protein_coding
ENSRNOG00000053888	5_8S_rRNA	ensembl	rRNA
ENSRNOG00000055836	AABR07000402.1	ensembl	miRNA
ENSRNOG00000060657	AABR07000404.1	ensembl	miRNA
ENSRNOG00000059898	LOC100909599	ensembl	lincRNA
ENSRNOG00000055789	AABR07000411.1	ensembl	lincRNA
ENSRNOG00000062232	Mcc	havana	protein_coding
ENSRNOG00000055660	AABR07000433.1	ensembl	lincRNA
ENSRNOG00000060284	AABR07000436.1	ensembl	lincRNA
ENSRNOG00000056019	AC128394.2	ensembl	lincRNA
ENSRNOG00000059861	AC128394.3	ensembl	lincRNA
ENSRNOG00000056940	Cited2	ensembl	protein_coding
ENSRNOG00000055972	AC128394.1	ensembl	pseudogene
ENSRNOG00000060021	Txlnb	ensembl	protein_coding
ENSRNOG00000060610	AABR07071848.1	ensembl	protein_coding
ENSRNOG00000060972	Heca	ensembl	protein_coding
ENSRNOG00000051450	Abracl	ensembl	protein_coding
ENSRNOG00000059224	Reps1	ensembl	protein_coding
ENSRNOG00000055142	Ect2l	ensembl	protein_coding
ENSRNOG00000052189	AABR07000452.1	ensembl	lincRNA
ENSRNOG00000053331	AABR07000451.1	ensembl	lincRNA
ENSRNOG00000053347	Ccdc28a	ensembl	protein_coding
ENSRNOG00000059393	U6	ensembl	snRNA
ENSRNOG00000060603	Nhsl1	ensembl	protein_coding
ENSRNOG00000053735	Hebp2	ensembl	protein_coding
ENSRNOG00000053184	AABR07000458.1	ensembl	miRNA
ENSRNOG00000011460	Arfgef3	ensembl	protein_coding
ENSRNOG00000025799	RGD1560303	ensembl	protein_coding
ENSRNOG00000011994	Perp	ensembl	protein_coding
ENSRNOG00000049517	Tnfaip3	ensembl	protein_coding
ENSRNOG00000058088	LOC102550206	ensembl	lincRNA
ENSRNOG00000054373	AABR07000484.1	ensembl	lincRNA
ENSRNOG00000012057	Olig3	ensembl	protein_coding
ENSRNOG00000053291	AABR07000493.1	ensembl	lincRNA
ENSRNOG00000012074	Ifngr1	ensembl	protein_coding
ENSRNOG00000012259	Il22ra2	ensembl	protein_coding
ENSRNOG00000012286	Il20ra	ensembl	protein_coding
ENSRNOG00000057719	AC136053.1	ensembl	lincRNA
ENSRNOG00000012311	Slc35d3	ensembl	protein_coding
ENSRNOG00000012322	Pex7	ensembl	protein_coding
ENSRNOG00000031700	Map3k5	ensembl	protein_coding
ENSRNOG00000054452	AABR07000497.1	ensembl	snoRNA
ENSRNOG00000012701	Map7	ensembl	protein_coding
ENSRNOG00000053505	U6	ensembl	snRNA
ENSRNOG00000058050	Bclaf1	ensembl	protein_coding
ENSRNOG00000013436	Pde7b	ensembl	protein_coding
ENSRNOG00000058518	AABR07000521.1	ensembl	snoRNA
ENSRNOG00000053617	AABR07000523.1	ensembl	lincRNA
ENSRNOG00000013969	Ahi1	ensembl	protein_coding
ENSRNOG00000055858	Myb	ensembl	protein_coding
ENSRNOG00000014531	Hbs1l	ensembl	protein_coding
ENSRNOG00000014907	Aldh8a1	ensembl	protein_coding
ENSRNOG00000052464	AABR07000533.1	ensembl	lincRNA
ENSRNOG00000058612	U6	ensembl	snRNA
ENSRNOG00000048762	AABR07000534.1	ensembl	protein_coding
ENSRNOG00000058363	RNaseP_nuc	ensembl	ribozyme
ENSRNOG00000014979	Themis	ensembl	protein_coding
ENSRNOG00000055971	AABR07000544.1	ensembl	lincRNA
ENSRNOG00000047605	Ptprk	ensembl	protein_coding
ENSRNOG00000046617	LOC103690149	ensembl	protein_coding
ENSRNOG00000047754	AABR07000574.1	ensembl	miRNA
ENSRNOG00000028519	AABR07000581.1	ensembl	protein_coding
ENSRNOG00000011134	Lama2	ensembl	protein_coding
ENSRNOG00000046438	AABR07000583.1	ensembl	protein_coding
ENSRNOG00000057281	U6	ensembl	snRNA
ENSRNOG00000058772	U6	ensembl	snRNA
ENSRNOG00000011245	Arhgap18	ensembl	protein_coding
ENSRNOG00000030796	AABR07000595.1	ensembl	protein_coding
ENSRNOG00000051380	LOC102554576	ensembl	lincRNA
ENSRNOG00000011720	L3mbtl3	ensembl	protein_coding
ENSRNOG00000033517	LOC100360791	ensembl	processed_pseudogene
ENSRNOG00000039955	Samd3	ensembl	protein_coding
ENSRNOG00000050801	AABR07000629.3	ensembl	pseudogene
ENSRNOG00000049569	AABR07000629.2	ensembl	pseudogene
ENSRNOG00000047783	Tmem200a	ensembl	protein_coding
ENSRNOG00000011855	AABR07000629.1	ensembl	protein_coding
ENSRNOG00000053931	AABR07000631.1	ensembl	snRNA
ENSRNOG00000026462	RGD1559962	ensembl	protein_coding
ENSRNOG00000056218	AABR07000639.1	ensembl	lincRNA
ENSRNOG00000047821	Smlr1	ensembl_havana	protein_coding
ENSRNOG00000012346	Epb41l2	ensembl	protein_coding
ENSRNOG00000013202	Akap7	ensembl	protein_coding
ENSRNOG00000055111	AABR07000658.2	ensembl	pseudogene
ENSRNOG00000054921	AABR07000658.1	ensembl	snoRNA
ENSRNOG00000053999	AABR07071851.2	ensembl	lincRNA
ENSRNOG00000052696	AABR07071851.1	ensembl	lincRNA
ENSRNOG00000013304	Arg1	ensembl	protein_coding
ENSRNOG00000013422	Med23	ensembl	protein_coding
ENSRNOG00000013791	Enpp3	ensembl	protein_coding
ENSRNOG00000053913	AC127189.1	ensembl	lincRNA
ENSRNOG00000013994	Enpp1	ensembl	protein_coding
ENSRNOG00000015036	Ccn2	ensembl	protein_coding
ENSRNOG00000015321	Moxd1	ensembl	protein_coding
ENSRNOG00000015670	Stx7	ensembl	protein_coding
ENSRNOG00000026096	Taar9	ensembl	protein_coding
ENSRNOG00000056705	Taar8b	ensembl	protein_coding
ENSRNOG00000048934	LOC108348200	ensembl	protein_coding
ENSRNOG00000030414	Taar8a	ensembl	protein_coding
ENSRNOG00000039872	AC128759.1	ensembl	pseudogene
ENSRNOG00000048072	Taar7h	ensembl	protein_coding
ENSRNOG00000052726	AC128759.2	ensembl	lincRNA
ENSRNOG00000048265	Taar7g	ensembl	protein_coding
ENSRNOG00000046903	Taar7e	ensembl	protein_coding
ENSRNOG00000045914	Taar7d	ensembl	protein_coding
ENSRNOG00000047825	Taar7c	ensembl	protein_coding
ENSRNOG00000046302	Taar7b	ensembl	protein_coding
ENSRNOG00000016095	Taar7a	ensembl	pseudogene
ENSRNOG00000016089	Taar6	ensembl	protein_coding
ENSRNOG00000039869	Taar5	ensembl	protein_coding
ENSRNOG00000029877	Taar4	ensembl	protein_coding
ENSRNOG00000025982	Taar3	ensembl	protein_coding
ENSRNOG00000025951	Taar2	ensembl	protein_coding
ENSRNOG00000016073	Taar1	ensembl	protein_coding
ENSRNOG00000016219	Vnn1	ensembl	protein_coding
ENSRNOG00000039865	Vnn3	ensembl	protein_coding
ENSRNOG00000016371	Slc18b1	ensembl	protein_coding
ENSRNOG00000060376	LOC100910237	ensembl	lincRNA
ENSRNOG00000016411	Rps12	ensembl	protein_coding
ENSRNOG00000057952	Gm23130	ensembl	snoRNA
ENSRNOG00000061678	Snord100	ensembl	snoRNA
ENSRNOG00000054517	Snora33	ensembl	snoRNA
ENSRNOG00000016627	Eya4	ensembl	protein_coding
ENSRNOG00000048248	LOC100910446	ensembl	protein_coding
ENSRNOG00000016700	Tcf21	ensembl	protein_coding
ENSRNOG00000011114	Tbpl1	ensembl	protein_coding
ENSRNOG00000011161	Slc2a12	ensembl	protein_coding
ENSRNOG00000051597	AABR07000714.1	ensembl	lincRNA
ENSRNOG00000057722	AABR07000714.2	ensembl	lincRNA
ENSRNOG00000011815	Sgk1	ensembl	protein_coding
ENSRNOG00000059690	Gm23839	ensembl	snoRNA
ENSRNOG00000051379	U6	ensembl	snRNA
ENSRNOG00000059251	LOC100365542	ensembl	protein_coding
ENSRNOG00000061761	AABR07000723.1	ensembl	lincRNA
ENSRNOG00000056881	LOC102546868	ensembl	lincRNA
ENSRNOG00000055637	AABR07000725.1	ensembl	lincRNA
ENSRNOG00000058047	AABR07000733.1	ensembl	protein_coding
ENSRNOG00000052999	AABR07000738.1	ensembl	protein_coding
ENSRNOG00000048976	LOC501467	ensembl	protein_coding
ENSRNOG00000048796	AABR07000740.1	ensembl	protein_coding
ENSRNOG00000054246	LOC679711	ensembl	protein_coding
ENSRNOG00000012122	Clvs2	ensembl_havana	protein_coding
ENSRNOG00000062105	AABR07000765.1	havana	processed_pseudogene
ENSRNOG00000062163	AABR07000765.3	havana	processed_pseudogene
ENSRNOG00000062138	AABR07000765.2	havana	processed_pseudogene
ENSRNOG00000012609	Trdn	ensembl_havana	protein_coding
ENSRNOG00000058582	U6	ensembl	snRNA
ENSRNOG00000029608	Nkain2	ensembl_havana	protein_coding
ENSRNOG00000052712	AABR07000900.1	ensembl	snoRNA
ENSRNOG00000057890	U4	ensembl	snRNA
ENSRNOG00000056670	AABR07000902.1	ensembl	protein_coding
ENSRNOG00000013323	Rnf217	ensembl_havana	protein_coding
ENSRNOG00000021478	Tpd52l1	ensembl	protein_coding
ENSRNOG00000021442	Hddc2	ensembl	protein_coding
ENSRNOG00000041720	5S_rRNA	ensembl	rRNA
ENSRNOG00000013364	Hey2	ensembl	protein_coding
ENSRNOG00000014004	Ncoa7	ensembl	protein_coding
ENSRNOG00000045369	5S_rRNA	ensembl	rRNA
ENSRNOG00000014190	Hint3	ensembl	protein_coding
ENSRNOG00000014240	Trmt11	ensembl	protein_coding
ENSRNOG00000042944	Cenpw	ensembl	protein_coding
ENSRNOG00000060033	AABR07000968.2	ensembl	snoRNA
ENSRNOG00000050157	AABR07000968.1	ensembl	miRNA
ENSRNOG00000056383	U4	ensembl	snRNA
ENSRNOG00000061372	AABR07000968.3	ensembl	lincRNA
ENSRNOG00000056484	AABR07000978.1	ensembl	lincRNA
ENSRNOG00000011568	Rspo3	ensembl	protein_coding
ENSRNOG00000011588	Rnf146	ensembl	protein_coding
ENSRNOG00000011622	Echdc1	ensembl	protein_coding
ENSRNOG00000054753	AABR07000986.1	ensembl	lincRNA
ENSRNOG00000042309	Kiaa0408L	ensembl	protein_coding
ENSRNOG00000012324	Soga3	ensembl	protein_coding
ENSRNOG00000061741	AABR07000989.1	ensembl	protein_coding
ENSRNOG00000054845	AABR07000990.1	ensembl	snoRNA
ENSRNOG00000023407	LOC100910528	ensembl	protein_coding
ENSRNOG00000023387	LOC100912599	ensembl_havana	protein_coding
ENSRNOG00000012581	RGD1311933	ensembl	protein_coding
ENSRNOG00000039788	AC094217.2	ensembl	protein_coding
ENSRNOG00000051400	RNaseP_nuc	ensembl	ribozyme
ENSRNOG00000039783	AC094217.1	ensembl	protein_coding
ENSRNOG00000028357	Lrrc14b	ensembl	protein_coding
ENSRNOG00000012775	Ccdc127	ensembl	protein_coding
ENSRNOG00000013331	Sdha	ensembl	protein_coding
ENSRNOG00000014485	Pdcd6	ensembl	protein_coding
ENSRNOG00000014721	Ahrr	ensembl	protein_coding
ENSRNOG00000039776	Exoc3	ensembl	protein_coding
ENSRNOG00000015159	Slc9a3	ensembl	protein_coding
ENSRNOG00000015465	Cep72	ensembl	protein_coding
ENSRNOG00000028261	Tppp	ensembl	protein_coding
ENSRNOG00000039743	Zdhhc11	ensembl	protein_coding
ENSRNOG00000060926	AABR07001001.2	ensembl	lincRNA
ENSRNOG00000015676	Brd9	ensembl	protein_coding
ENSRNOG00000015810	Trip13	ensembl	protein_coding
ENSRNOG00000051415	AABR07001001.1	ensembl	snoRNA
ENSRNOG00000045233	5S_rRNA	ensembl	rRNA
ENSRNOG00000016103	Nkd2	ensembl	protein_coding
ENSRNOG00000016372	Slc12a7	ensembl	protein_coding
ENSRNOG00000056712	AC142421.1	ensembl	protein_coding
ENSRNOG00000026501	Slc6a19	ensembl	protein_coding
ENSRNOG00000016253	Slc6a18	ensembl	protein_coding
ENSRNOG00000061518	AC142421.2	ensembl	lincRNA
ENSRNOG00000025327	Tert	ensembl	protein_coding
ENSRNOG00000016923	Clptm1l	ensembl	protein_coding
ENSRNOG00000017302	Slc6a3	ensembl	protein_coding
ENSRNOG00000017930	Lpcat1	ensembl	protein_coding
ENSRNOG00000053180	AABR07001003.1	ensembl	lincRNA
ENSRNOG00000047971	Mrpl36	ensembl	protein_coding
ENSRNOG00000049394	LOC679739	ensembl_havana	protein_coding
ENSRNOG00000012720	Irx4	ensembl	protein_coding
ENSRNOG00000060323	AABR07001006.1	ensembl	lincRNA
ENSRNOG00000057164	AABR07001010.1	ensembl	lincRNA
ENSRNOG00000012742	Irx2	ensembl	protein_coding
ENSRNOG00000058487	AABR07001018.5	ensembl	lincRNA
ENSRNOG00000055826	AABR07001018.3	ensembl	lincRNA
ENSRNOG00000053323	AABR07001018.1	ensembl	lincRNA
ENSRNOG00000056842	AABR07001018.4	ensembl	lincRNA
ENSRNOG00000033609	Irx1	ensembl	protein_coding
ENSRNOG00000054020	AABR07001018.2	ensembl	lincRNA
ENSRNOG00000054169	AABR07001019.1	ensembl	lincRNA
ENSRNOG00000057928	AABR07001025.1	ensembl	lincRNA
ENSRNOG00000057721	AABR07001035.1	ensembl	pseudogene
ENSRNOG00000016812	Adamts16	ensembl	protein_coding
ENSRNOG00000047117	AABR07001037.1	ensembl	pseudogene
ENSRNOG00000023053	Ice1	ensembl	protein_coding
ENSRNOG00000049434	AABR07001048.1	ensembl	pseudogene
ENSRNOG00000052375	Gm26018	ensembl	snoRNA
ENSRNOG00000017095	LOC679881	ensembl	pseudogene
ENSRNOG00000055337	AABR07001054.1	ensembl	lincRNA
ENSRNOG00000057357	AABR07001054.2	ensembl	lincRNA
ENSRNOG00000017150	Med10	ensembl	protein_coding
ENSRNOG00000043733	AABR07001057.1	ensembl	miRNA
ENSRNOG00000034075	Ube2ql1	ensembl	protein_coding
ENSRNOG00000017254	Nsun2	ensembl	protein_coding
ENSRNOG00000017601	Srd5a1	ensembl	protein_coding
ENSRNOG00000052644	AABR07001060.1	ensembl	snoRNA
ENSRNOG00000017613	Tent4a	ensembl	protein_coding
ENSRNOG00000055880	AABR07001061.1	ensembl	lincRNA
ENSRNOG00000017678	AABR07001064.1	ensembl	pseudogene
ENSRNOG00000058077	AABR07001068.1	ensembl	lincRNA
ENSRNOG00000032150	Adcy2	ensembl	protein_coding
ENSRNOG00000055957	U6	ensembl	snRNA
ENSRNOG00000047406	RGD1308544	ensembl	protein_coding
ENSRNOG00000027422	Fastkd3	ensembl	protein_coding
ENSRNOG00000017826	Mtrr	ensembl	protein_coding
ENSRNOG00000042308	LOC680200	ensembl	protein_coding
ENSRNOG00000058041	U7	ensembl	snRNA
ENSRNOG00000051377	AABR07001099.2	ensembl	protein_coding
ENSRNOG00000059310	U6	ensembl	snRNA
ENSRNOG00000017963	AABR07001099.1	ensembl	protein_coding
ENSRNOG00000049259	LOC102549842	ensembl	protein_coding
ENSRNOG00000016462	LOC102547287	ensembl	protein_coding
ENSRNOG00000056694	AABR07001100.1	ensembl	protein_coding
ENSRNOG00000049256	Mir29b-3	ensembl	miRNA
ENSRNOG00000046712	Mir3556b-2	ensembl	miRNA
ENSRNOG00000054816	AABR07001151.1	ensembl	misc_RNA
ENSRNOG00000049881	AABR07001160.1	ensembl	protein_coding
ENSRNOG00000047145	LOC102551340	ensembl	protein_coding
ENSRNOG00000046353	LOC501406	ensembl	protein_coding
ENSRNOG00000054466	AABR07001207.1	ensembl	lincRNA
ENSRNOG00000057057	AABR07001210.1	ensembl	lincRNA
ENSRNOG00000053328	AABR07001233.1	ensembl	lincRNA
ENSRNOG00000023081	AABR07001348.1	ensembl	protein_coding
ENSRNOG00000016368	Ppp1r14c	ensembl	protein_coding
ENSRNOG00000016286	Iyd	ensembl	protein_coding
ENSRNOG00000053056	AABR07001358.1	ensembl	lincRNA
ENSRNOG00000016011	Plekhg1	ensembl	protein_coding
ENSRNOG00000019582	Mthfd1l	ensembl	protein_coding
ENSRNOG00000055235	U1	ensembl	snRNA
ENSRNOG00000019549	Akap12	ensembl	protein_coding
ENSRNOG00000019544	Zbtb2	ensembl	protein_coding
ENSRNOG00000019501	Rmnd1	ensembl	protein_coding
ENSRNOG00000019489	Armt1	ensembl_havana	protein_coding
ENSRNOG00000054876	SNORA73	ensembl	snoRNA
ENSRNOG00000024280	Ccdc170	ensembl_havana	protein_coding
ENSRNOG00000019358	Esr1	ensembl_havana	protein_coding
ENSRNOG00000057689	AABR07001379.2	havana	sense_intronic
ENSRNOG00000055223	AABR07001379.1	ensembl	snoRNA
ENSRNOG00000055166	AABR07001382.2	havana	lincRNA
ENSRNOG00000018960	AABR07001382.1	ensembl_havana	processed_transcript
ENSRNOG00000052241	U6	ensembl	snRNA
ENSRNOG00000018858	Myct1	ensembl_havana	protein_coding
ENSRNOG00000053113	AABR07001389.1	havana	lincRNA
ENSRNOG00000018808	Vip	ensembl_havana	protein_coding
ENSRNOG00000054156	AABR07001392.1	ensembl	lincRNA
ENSRNOG00000024077	Fbxo5	ensembl_havana	protein_coding
